@relation allSongsAllFieldsRankClassWithDate

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"1995-11-11",160,74,14,4,31-40
TRUE,"1990-03-17",333,141,11,3,31-40
FALSE,"1986-08-09",18,18,14,5,41-50
FALSE,"1981-07-11",125,75,11,4,31-40
FALSE,"2008-08-23",229,65,7,3,11-20
FALSE,"1986-04-12",567,75,24,3,31-40
FALSE,"1986-04-19",567,75,24,3,31-40
FALSE,"2011-05-21",362,111,9,3,31-40
FALSE,"1981-03-14",341,65,10,3,11-20
FALSE,"2002-07-13",224,72,15,4,41-50
FALSE,"1990-04-28",183,83,10,3,31-40
FALSE,"1984-07-07",382,75,11,4,41-50
FALSE,"2010-04-03",237,112,8,3,41-50
FALSE,"1998-12-05",287,123,10,3,41-50
FALSE,"1989-03-04",196,71,9,3,11-20
TRUE,"2001-03-24",401,132,13,4,41-50
FALSE,"1986-03-01",167,59,10,3,11-20
FALSE,"1982-11-13",219,95,11,3,41-50
FALSE,"1980-07-19",229,94,21,4,31-40
FALSE,"1986-10-18",304,147,10,3,1-10
TRUE,"2008-08-09",555,270,13,4,1-10
FALSE,"2002-10-05",260,81,10,4,1-10
FALSE,"2002-05-04",298,89,9,3,21-30
FALSE,"1999-08-07",206,88,10,4,31-40
FALSE,"1982-05-29",392,106,13,4,41-50
TRUE,"1988-09-24",746,312,10,3,11-20
TRUE,"1988-10-08",746,312,10,3,21-30
FALSE,"1982-12-25",529,92,10,3,31-40
FALSE,"2006-08-12",312,87,13,4,11-20
FALSE,"2000-08-19",253,95,12,4,21-30
FALSE,"2005-09-24",239,105,10,4,31-40
FALSE,"1998-05-02",384,127,10,3,21-30
FALSE,"1989-05-06",272,106,10,3,21-30
FALSE,"2014-05-31",126,46,8,3,1-10
FALSE,"1998-02-14",371,114,10,3,1-10
FALSE,"1996-05-04",335,120,11,3,31-40
