Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev,Usage
,1983,2015,2004,316,10.360129269512647,219
holding,1980,2009,1989,49,6.074369035848371,43
champions,2014,2014,2014,1,0.0,6
jef,1993,1994,1993,11,0.5222329678670935,6
fuck,1995,2014,2006,109,7.188803730981171,70
finisher,2011,2011,2011,21,0.0,7
florida,2012,2012,2012,8,0.0,7
gasoline,1989,1989,1989,14,0.0,7
told,1983,2014,1999,52,11.684144417510028,44
answer,1990,2000,1996,45,4.8074017006186525,18
dawg,2014,2014,2014,10,0.0,6
flaunt,2004,2005,2004,38,0.8885233166386386,6
meet,1982,2015,1996,67,12.829536816478338,30
spliff,1995,1995,1995,11,0.0,7
toll,2009,2009,2009,16,0.0,7
serenade,2000,2000,2000,7,0.0,6
3,1991,2014,1999,88,7.770866337569038,70
2,1992,2014,2002,123,8.122537150182666,77
1,1992,2014,1998,88,6.145027553751377,75
0,2014,2014,2014,10,0.0,6
dawn,1996,2006,2000,40,5.0,12
7,1992,2000,1994,29,3.0114723171965867,13
6,1986,2012,2001,57,8.911849001839009,46
5,1989,2014,1998,88,8.520696727807694,66
4,1986,2014,2000,92,6.490796159378963,66
somebody,1994,2015,2004,119,6.889280432233078,65
9,1989,1989,1989,14,0.0,19
8,1992,2000,1994,29,3.0114723171965867,13
steady,2011,2011,2011,21,0.0,7
mugs,2000,2000,2000,29,0.0,6
rev,2006,2006,2006,18,0.0,6
truck,2012,2012,2012,8,0.0,7
horny,1999,2012,2006,42,4.386125310350268,20
micchecka,1993,1994,1993,11,0.5222329678670935,6
sweetheart,2007,2007,2007,3,0.0,6
times,1982,2011,1999,93,10.18801741874891,57
grew,2002,2003,2002,17,0.9074852129730301,7
grey,2007,2007,2007,17,0.0,7
oversized,2012,2012,2012,14,0.0,7
whack,1993,1994,1993,11,0.5222329678670935,6
fruity,2010,2010,2010,9,0.0,7
hangin,2000,2000,2000,29,0.0,6
f,1991,2011,2003,41,9.052691285589889,21
g,2012,2012,2012,8,0.0,7
heck,1993,1994,1993,11,0.5222329678670935,6
tone,1984,1984,1984,5,0.0,6
myrtle,2014,2014,2014,1,0.0,7
b,2002,2003,2002,28,0.823754471047914,13
eightfoot,2011,2011,2011,21,0.0,7
confused,2009,2013,2012,17,1.1881770515720091,13
