@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"1979",231.0,0.5238095238095238,"the","and","we","to","","don't","i","of","you","see","we don't","don't even","even care","and i","faster than","with the","and the","to see","see","that","don't even care","to see","see  that","that we","that we don't","we don't even","even care to","care to shake","to shake these","shake these zipper",45,11,8,23,2,55,8,29,16,0,31,0,3,-13.304347826086955,mid1990s,top20
"1985",344.0,0.436046511627907,"and","her","hoo","she","she's","was","the","still","on","a","woo hoo","hoo hoo","springsteen madonna","way before","before nirvana","there was","was u2","u2 and","and blondie","and music","woo hoo hoo","way before nirvana","there was u2","was u2 and","u2 and blondie","and music still","music still on","still on mtv","her two kids","two kids in",58,12,17,31,12,119,3,40,20,0,26,0,6,0.0,mid2000s,top30
"1999",496.0,0.3487903225806452,"party","say","nineteen","ninety-nine","i","gonna","it","to","zero","you","nineteen ninety-nine","out of","of time","i'm gonna","we gonna","thousand zero","zero zero","zero party","party over","over oops","out of time","two thousand zero","thousand zero zero","zero zero party","zero party over","party over oops","over oops out","oops out of","so tonite i'm","tonite i'm gonna",96,8,26,55,37,125,11,52,37,5,36,0,8,2.7272727272727275,early1980s,top20
"#1",2.0,1.0,"browse","artists","artists","artists","artists","artists","artists","artists","artists","artists","bomb? browse","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","a bomb? browse","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists","bomb? browse artists",0,0,0,0,0,2,0,0,0,0,0,0,0,NaN,early2000s,top30
"#Beautiful",2.0,1.0,"browse","artists","artists","artists","artists","artists","artists","artists","artists","artists","artists browse","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists","browse artists browse","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists","artists browse artists",0,0,0,0,0,2,0,0,0,0,0,0,0,NaN,early2010s,top20
"#SELFIE",326.0,0.5153374233128835,"i","me","a","selfie","take","you","that","the","go","","let me","me take","selfie","take a","a selfie","do you","he was","you think","that girl","selfie let","let me take","me take a","take a selfie","a selfie","selfie let me","don't know if","do you think","selfie  selfie","i don't know","kept on seeing",79,5,13,49,4,69,4,25,20,3,45,0,10,6.36734693877551,mid2010s,top20
"#thatPOWER",1.0,1.0,"","","","","","","","","","","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie","a selfie",0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,early2010s,top20
"' 03 Bonnie & Clyde",588.0,0.35034013605442177,"my","and","the","me","i","girlfriend","boyfriend","you","is","this","me and","and my","my boyfriend","my girlfriend","down the","all i","i need","need in","in this","this life","me and my","and my girlfriend","and my boyfriend","all i need","i need in","need in this","in this life","this life of","life of sin","of sin is",81,38,22,109,3,143,7,78,33,2,66,0,6,27.614678899082566,early2000s,top10
"' 65 Love Affair",320.0,0.296875,"i","do-wop-diddy","wop-diddy","wop-doo","you","can","hear","love","we","was","do-wop-diddy wop-diddy","wop-diddy wop-doo","wop-doo do-wop-diddy","can hear","'65 love","love affair","well i","go back","if i","i could","do-wop-diddy wop-diddy wop-doo","wop-diddy wop-doo do-wop-diddy","wop-doo do-wop-diddy wop-diddy","'65 love affair","if i could","i could go","could go back","well i know","to that wonderful","that wonderful '65",56,11,26,52,8,64,6,31,26,0,39,0,1,-4.903846153846153,early1980s,top10
"' Til My Baby Comes Home",480.0,0.2875,"i","my","baby","'til","she","me","home","alright","i'm","comes","my baby","'til my","comes home","alright 'til","baby comes","i'm alright","then i'm","i know","my ba-ba-baby","baby 'til","'til my baby","alright 'til my","my baby comes","baby comes home","then i'm alright","i'm alright 'til","my baby 'til","baby 'til my","i know i","know i know",91,7,12,114,0,99,6,39,45,0,57,0,10,15.0,mid1980s,top30
"' Til You Do Me Right",433.0,0.279445727482679,"you","to","i","'til","me","don't","your","do","change","even","to you","'til you","i don't","don't even","do me","me right","you do","even wanna","is gonna","gonna come","i don't even","you do me","do me right","'til you do","don't even wanna","is gonna come","to you i","me right i","right i don't","talk to you",134,4,24,120,1,36,27,23,45,0,13,0,6,11.9,mid1990s,top40
"(Baby Tell Me) Can You Dance",352.0,0.3522727272727273,"you","dance","can","to","i","me","tell","the","is","want","can you","you dance","dance can","tell me","want to","to know","i really","really want","me can","what i","can you dance","you dance can","dance can you","want to know","i really want","really want to","tell me can","me can you","what i really","to know is",91,5,8,79,2,45,17,36,16,1,44,0,8,5.468354430379747,late1980s,top50
"(Can't Live Without Your) Love And Affection",271.0,0.44280442804428044,"i","can't","your","love","on","live","without","my","she","and","i can't","your love","can't live","live without","without your","love and","and affection","on my","give up","affection i","i can't live","can't live without","live without your","without your love","your love and","love and affection","and affection i","the outside looking","outside looking in","- oh -",50,8,6,48,1,53,5,42,15,4,38,0,1,2.916666666666666,early1990s,top10
"(Everything I Do) I Do It For You",18.0,0.9444444444444444,"to","not","in","a","position","we","display","these","lyrics","due","love we","are not","not in","in a","a position","position to","to display","display these","these lyrics","lyrics due","your love we","we are not","are not in","not in a","in a position","a position to","position to display","to display these","display these lyrics","these lyrics due",3,0,1,1,0,5,2,2,1,0,3,0,0,0.0,early1990s,top10
"(Forever) Live And Die",162.0,0.30246913580246915,"i","never","knew","you","and","why","make","me","to","at","i never","never knew","knew i","knew why","make me","why you","you make","me wanna","wanna cry","cry i","i never knew","never knew i","knew i never","never knew why","knew why you","why you make","you make me","make me wanna","me wanna cry","wanna cry i",43,7,2,41,0,14,4,11,24,2,6,1,7,1.3414634146341464,mid1980s,top20
"(God Must Have Spent) A Little More Time On You",362.0,0.3287292817679558,"you","on","i","a","that","your","and","like","of","more","on you","you on","is like","like a","a little","little more","more time","and deep","time on","god must","you on you","on you on","is like a","a little more","little more time","more time on","god must of","must of spent","of spent a","spent a little",51,11,39,44,2,71,1,52,19,2,59,0,11,1.022727272727273,late1990s,top10
"(Hot S**t) Country Grammar",991.0,0.39253279515640765,"to","and","the","it","me","now","a","i'm","in","niggaz","let me","hot shit!","i'm goin","goin down","ready to","down down","down baby","baby yo","yo street","street in","i'm goin down","goin down down","down down baby","down baby yo","baby yo street","yo street in","street in a","in a range","a range rover","street sweeper baby",125,32,57,99,5,363,38,104,52,1,100,0,15,15.000000000000002,early2000s,top10
"(How To Be A) Millionaire",210.0,0.48095238095238096,"me","tell","to","the","i","a","millionaire?","be","you","how","tell me","me tell","to be","how to","me how","be a","a millionaire?","i do","maybe these","these luxuries","tell me tell","me tell me","tell me how","me how to","how to be","to be a","be a millionaire?","maybe these luxuries","these luxuries can","luxuries can only",50,8,6,32,7,36,10,14,12,0,28,0,7,4.25,mid1980s,top20
"(I Just) Died In Your Arms",227.0,0.40969162995594716,"a","you","the","between","rock","place","and","your","hard","down","between a","a rock","rock and","and a","a hard","hard place","you gotta","in the","place between","rock between","between a rock","a rock and","rock and a","and a hard","a hard place","a rock between","rock between a","place between a","a rock you","rock you gotta",32,10,9,28,0,60,2,28,8,2,45,0,3,0.7857142857142858,late1980s,top10
"(I Know I Got) Skillz",726.0,0.47107438016528924,"the","i","you","like","a","my","know","and","don't","me","in the","with the","i got","i know","know i","got skills","skills man","ha ha","def jef","give a","i know i","know i got","i got skills","got skills man","ha ha ha","man i know","skills man i","the way i","def jef with","jef with the",129,16,40,95,3,216,6,72,38,0,92,0,19,6.789473684210526,early1990s,top40
"(I've Had) The Time Of My Life",235.0,0.4595744680851064,"the","i","i've","you","to","of","and","it","so","this","i've had","had the","the time","time of","of my","my life","and i","i owe","owe it","it all","i've had the","had the time","the time of","time of my","of my life","and i owe","i owe it","owe it all","it all to","all to you",41,6,7,40,2,44,7,28,26,0,31,0,3,1.0,late1980s,top10
"(I've Had) The Time Of My Life",234.0,0.4700854700854701,"the","i","i've","you","to","of","and","it","so","this","i've had","had the","the time","time of","of my","my life","and i","i owe","owe it","it all","i've had the","had the time","the time of","time of my","of my life","and i owe","i owe it","owe it all","it all to","all to you",41,6,10,39,2,45,7,28,24,0,30,0,2,1.0256410256410255,late1980s,top30
"(I've Had) The Time Of My Life",440.0,0.2636363636363636,"i","the","you","to","i've","of","had","my","and","it","of my","my life","the truth","and i","to you","i've had","had the","the time","time of","owe it","of my life","had the time","the time of","time of my","and i owe","i owe it","owe it all","it all to","all to you","i've had the",67,13,10,74,2,110,13,50,38,0,61,0,2,3.7702702702702706,early2010s,top40
