SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
1, 2 Step,2005,86,12,15,78,25,126,11,34,35,1,48,0,6,2,0.717948718,,
1,2,3,4,2007,34,4,9,30,18,33,2,17,10,0,13,0,7,3,1.3
1,2,3,4,2009,44,3,20,54,38,26,6,18,26,0,11,0,8,7,3.240740741
1,2,3,4 (Sumpin' New),1996,40,10,8,22,0,43,9,19,10,0,27,0,0,15,11.59090909
1/2/2003,1988,50,8,12,45,6,47,1,28,17,0,12,0,3,9,4.4,,,
10/9/2008,1984,37,1,8,23,3,37,6,25,18,0,34,0,6,4,1.565217391,,,
100 Years,2004,34,10,12,19,18,56,12,32,19,0,36,0,5,1,0.368421053,,,
100% Pure Love,1994,54,10,8,43,1,67,13,31,40,0,32,0,3,2,0.511627907,,,
15 Minutes,1999,168,39,9,89,15,94,17,48,57,2,68,0,3,32,15.1011236,,,
18 And Life,1989,62,30,6,40,20,67,9,15,18,2,22,0,1,0,0,,,
19 Somethin',2003,48,19,18,37,15,79,0,22,10,6,31,0,1,7,2.27027027,,,
19 You + Me,2014,35,3,11,29,3,45,5,18,14,0,17,0,5,-5,-8.275862069,,,
1st Of Tha Month,1995,249,51,73,124,8,302,46,177,102,3,200,1,8,16,6.064516129,,,
2 Become 1,1997,81,7,24,46,6,66,13,22,26,2,27,0,4,-2,-3.608695652,,,
2 Legit 2 Quit,1992,83,20,29,61,0,81,14,38,29,1,44,1,3,0,0,,,
2 On,2014,133,6,32,77,7,111,15,57,54,2,58,0,7,8,3.428571429,,,
2 Reasons,2012,64,16,16,56,6,124,3,53,45,0,53,0,7,1,0.428571429,,,
2 Step,2007,84,8,14,72,54,154,5,29,77,0,47,0,3,20,10.55555556,,,
20/20,1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
2012 (It Ain't The End),2010,79,10,23,69,6,124,7,81,47,8,70,0,2,-6,-10.86956522,,,
21 Guns,2009,40,11,5,34,8,61,5,38,11,0,28,0,6,0,0,,,
21 Questions,2003,140,24,18,151,6,95,26,59,42,0,64,0,9,27,17.16556291,,,
24/7,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
24/7,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
25 Or 6 To 4,1986,18,4,6,6,12,19,10,11,4,0,9,0,1,2,0.666666667,,,
3 A.M. Eternal,1991,32,3,9,14,4,69,6,13,3,0,19,0,0,0,0,,,
32 Flavors,1998,70,24,6,61,12,64,7,33,26,0,35,0,5,4,1.442622951,,,
3am,2009,104,21,27,77,4,144,9,71,35,1,80,0,9,11,2.571428571,,,
4 Ever,2003,88,24,28,63,1,99,23,53,33,1,26,0,2,3,1.380952381,,,
4 Minutes,2008,99,9,14,73,16,69,12,36,21,2,45,0,10,1,0.493150685,,,
4 Seasons Of Loneliness,1997,73,14,13,59,3,106,7,47,23,4,48,0,19,2,1.084745763,,,
4,5,6,1999,136,16,24,112,16,168,9,66,31,0,64,0,20,13,7.3125,
5 Miles To Empty,1997,118,6,36,85,12,78,30,14,45,32,60,0,13,27,10.8,,,
5 O'Clock,1996,104,14,45,101,7,122,14,99,52,0,76,0,15,8,3.801980198,,,
5 O'Clock,2011,112,29,18,97,9,77,7,71,27,0,55,0,4,16,7.257731959,,,
5-1-5-0,2012,37,7,16,31,1,32,0,25,9,0,16,0,1,5,2.741935484,,,
50 Ways To Say Goodbye,2012,58,8,15,39,2,64,6,36,7,0,32,0,5,7,3.051282051,,,
6 Foot 7 Foot,2011,127,28,34,116,1,249,8,90,36,0,90,0,5,26,10.75862069,,,
6 Underground,1997,26,3,13,16,1,34,6,18,16,0,10,0,1,6,2.625,,,
7 Days,2002,84,23,19,78,7,118,9,75,17,0,50,0,2,6,1.769230769,,,
7 Things,2008,87,12,15,91,6,44,8,28,25,1,29,0,9,7,2.769230769,,,
7 Things,2008,84,10,14,88,6,45,8,28,22,1,29,0,9,8,2.909090909,,,
11-Jul,2014,75,1,11,100,11,197,15,85,24,7,53,0,0,25,9,,,
853-5937,1988,36,4,8,32,3,43,8,18,13,0,31,0,3,1,0.1875,,,
867-5309/Jenny,1982,39,4,8,45,12,37,5,15,7,1,14,0,3,8,2.666666667,,,
8th World Wonder,2004,39,15,9,30,13,66,0,36,8,0,23,0,1,9,3.6,,,
9 To 5,1981,55,19,10,59,14,76,19,29,29,0,40,0,7,4,2.305084746,,,
99 Luftballons,1984,15,2,11,0,1,131,0,15,2,0,6,4,2,0,NaN,,,
99 Problems,2004,137,38,35,110,24,211,12,75,33,1,91,0,10,24,12.65454545,,,
A Bad Goodbye,1993,45,6,13,29,3,30,5,26,15,0,26,0,8,3,1.655172414,,,
A Bay Bay,2007,104,19,34,83,2,357,6,95,25,1,120,0,25,17,8.807228916,,,
A Better Love,1991,29,5,10,23,0,37,0,18,19,0,26,0,2,5,2.173913043,,,
A Day In My Life (Without You),1991,45,5,3,49,0,29,9,15,16,0,9,0,1,14,7.428571429,,,
A Deeper Love/Pride (In The Name Of Love),1992,12,2,15,6,19,74,2,54,3,0,29,0,0,0,0,,,
A Different Corner,1986,38,5,8,29,2,20,5,18,18,0,27,0,0,4,1.793103448,,,
