Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev,year1,year2,year3,year4,year5,Usage
j,1980,2015,2002,792,8.491305713921312,2002,2014,2011,1994,2001,71
k,1990,2015,2006,249,7.576119743077308,2015,2006,2014,2005,1994,21
eyyeahey,2013,2013,2013,14,0.0,2013,1980,1980,1980,1980,1
h,1993,2014,2001,260,6.095395487894625,2006,1994,1993,2007,2002,20
i,1980,2015,1997,77398,10.32489415758623,2011,2004,2009,2008,2010,6396
bloggers,2009,2010,2009,14,0.8864052604279183,2010,2009,1980,1980,1980,1
w,1986,2014,2001,218,7.256442882208354,2004,1993,2006,2007,2000,14
analyze,1981,2015,1995,93,5.9550285970260335,1998,1988,1990,2002,1999,11
v,1980,2014,2001,344,6.638725360986449,1997,2003,2007,2009,1991,33
u,1981,2015,2001,1100,7.636277055786234,2007,2006,2005,2004,1999,90
t,1981,2014,1997,677,7.575323384003513,1993,1994,2005,2003,1997,66
s,1981,2015,2001,822,6.689134887819594,2005,1998,2001,2006,1994,57
excape,1999,1999,1999,9,0.0,1999,1980,1980,1980,1980,1
r,1983,2014,2000,765,7.016134533405818,2005,2003,2004,2001,2002,55
q,1991,2014,2003,59,9.258985557787744,1991,2010,1997,2007,2014,6
slates,2012,2012,2012,1,0.0,2012,1980,1980,1980,1980,1
p,1988,2015,2000,1028,5.87292475144938,1998,2003,1993,2005,1997,87
este,1990,2005,2002,25,6.0,2005,1990,1980,1980,1980,3
z,1983,2013,1996,130,6.771546806590512,1997,1993,1998,1983,1991,10
ridinass,1996,1997,1996,8,0.9354143466934853,1997,1996,1980,1980,1980,1
y,1980,2014,1998,584,7.501940388262299,1993,2005,2003,1996,1990,52
braxton,2000,2010,2000,36,1.6666666666666667,2000,2010,1980,1980,1980,2
esta,1982,2008,1998,74,7.750326932947252,2004,1991,2005,1992,1982,8
x,1982,2015,2002,535,7.344143830163652,2004,2010,2000,2008,2003,38
ballernigger,2010,2010,2010,5,0.0,2010,1980,1980,1980,1980,1
holster,1997,2010,2006,75,4.898979485566356,2009,2010,1997,2002,1980,4
consumption,1997,1997,1997,6,0.0,1997,1980,1980,1980,1980,1
numpsay,2013,2013,2013,1,0.0,2013,1980,1980,1980,1980,1
dames,1994,2011,1995,31,3.4734012335220155,1994,1998,2011,1980,1980,4
whiff,1982,2011,1994,48,9.785192895390463,1997,1982,1983,1992,2006,6
