Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
starting,1980,1981,1980,21,0.7559289460184544
mami,2002,2003,2002,22,0.7687061147858074
probably,2009,2009,2009,1,0.0
mine,1982,2011,1995,146,7.63284180188498
blinded,1998,1999,1998,32,0.9013878188659973
mind,1983,2014,1997,200,8.410410215916938
smother,1996,1996,1996,9,0.0
end,1982,2013,2000,203,8.813055698162598
mini,2013,2014,2013,22,0.674199862463242
slowly,2003,2004,2003,10,0.31622776601683794
slash,2009,2009,2009,1,0.0
youve,1987,2012,2001,55,6.926890946291719
already,1993,2014,2005,81,7.267380189230147
ucity,2000,2000,2000,29,0.0
really,1985,2014,1998,96,9.08180415262665
evenin,1988,1988,1988,12,0.0
tequila,1989,1989,1989,14,0.0
chain,1997,2000,1997,28,1.3758114488755873
shuffle,1983,1983,1983,13,0.0
roulette,1986,1986,1986,9,0.0
belong,2006,2006,2006,18,0.0
courage,1997,1998,1997,20,0.5477225575051661
beach,1984,2014,1987,9,9.404490653110589
mash,2010,2010,2010,9,0.0
skin,1996,2009,1997,10,3.9115214431215892
lesbian,2000,2000,2000,29,0.0
parties,1982,1990,1988,18,2.2852182001336816
shimmy,2000,2000,2000,29,0.0
kissing,1997,1998,1997,20,0.5477225575051661
dream,1985,1998,1994,32,5.2796780204857185
slammin,2000,2000,2000,29,0.0
daddyo,1983,1983,1983,13,0.0
beyonce,2014,2014,2014,1,0.0
comes,1985,1998,1991,56,4.648348401006841
knows,1991,1994,1992,22,1.0
mart,2014,2014,2014,10,0.0
mars,2004,2004,2004,18,0.0
thick,2012,2012,2012,8,0.0
surprising,1986,1986,1986,9,0.0
kissin,2014,2014,2014,1,0.0
known,1991,1992,1991,18,0.816496580927726
mary,2009,2014,2011,35,2.4436506647695313
administration,1985,1985,1985,10,0.0
fawcett,2002,2003,2002,17,0.9074852129730301
jane,2014,2014,2014,18,0.0
state,1998,1998,1998,5,0.0
achieve,1997,1998,1997,24,0.408248290463863
coroner,2009,2009,2009,1,0.0
skeleton,2014,2014,2014,1,0.0
because,1982,2014,2000,210,7.013592245809289
magazine,1984,1984,1984,6,0.0
legit,1991,1992,1991,18,0.816496580927726
chick,2000,2003,2001,51,1.5146344928922038
details,1997,1997,1997,7,0.0
quote,2014,2014,2014,10,0.0
frisco,1988,1988,1988,12,0.0
woo,2000,2000,2000,29,0.0
weezy,2010,2011,2010,30,0.8366600265340756
blow,1989,2014,2004,83,8.45968469035584
woh,1997,1997,1997,7,0.0
minutes,1999,2008,2005,22,4.0451991747794525
inch,2000,2000,2000,29,0.0
lasagna,2011,2011,2011,21,0.0
vision,1998,1998,1998,5,0.0
tense,2014,2014,2014,10,0.0
greatest,2014,2014,2014,10,0.0
gates,2000,2000,2000,29,0.0
pickin,2005,2005,2005,14,0.0
beside,1985,1985,1985,8,0.0
dropping,1993,1994,1993,11,0.5222329678670935
shoulder,2000,2003,2001,51,1.3284223283101428
special,1980,2012,1995,42,14.829988922065027
kicks,2013,2014,2013,22,0.674199862463242
need,1982,2014,1999,285,8.555699854482976
using,2009,2009,2009,1,0.0
photograph,2007,2007,2007,3,0.0
fish,2011,2011,2011,21,0.0
higher,1987,1987,1987,1,0.0
missing,1990,2004,1995,26,6.3760368689214895
over,1980,2012,2000,249,9.716462244779057
free,1984,2014,2005,79,9.92057062466607
hypocrite,1987,1987,1987,11,0.0
fred,1994,1994,1994,3,0.0
search,1995,1995,1995,11,0.0
discharge,1985,1985,1985,10,0.0
flannel,2009,2009,2009,1,0.0
once,1988,2014,1997,44,8.306623862918075
comeback,2014,2014,2014,10,0.0
evry,1983,1983,1983,13,0.0
basement,2014,2014,2014,10,0.0
hollywood,1989,1990,1989,16,0.3535533905932738
number,1983,2012,1998,71,10.11413736548438
blacked,2009,2009,2009,1,0.0
apart,1990,2009,1998,52,7.408415173612734
smoke,1992,2014,2000,50,9.876234100101112
ohh,1999,1999,1999,19,0.0
gin,2000,2000,2000,29,0.0
bebop,1982,1982,1982,14,0.0
shonuff,1991,1992,1991,18,0.816496580927726
typically,1985,1985,1985,10,0.0
gooding,1993,1994,1993,11,0.5222329678670935
before,1984,2014,1996,199,7.798015467164108
horrible,2009,2009,2009,1,0.0
trouble,1989,2003,1993,20,6.418722614352485
braided,1995,1995,1995,11,0.0
carolinas,2012,2012,2012,8,0.0
stairs,2011,2012,2011,16,0.5590169943749475
could,1982,2014,1995,253,9.418886081685182
fills,1994,1994,1994,4,0.0
intervention,2008,2008,2008,16,0.0
wet,1999,2014,2001,9,4.618802153517006
sand,1992,2014,1993,22,4.492417854765759
sang,1982,1982,1982,14,0.0
blaster,1991,1991,1991,14,0.0
wee,2004,2005,2004,52,0.9198662110077999
borderline,2011,2011,2011,21,0.0
ones,1980,1981,1980,21,0.7559289460184544
living,1987,2014,1999,54,11.412306547790449
joneses,1996,1996,1996,9,0.0
fire,1985,2009,1996,68,9.903950489280408
louder,1999,2014,2008,16,7.271519786124493
arrested,1985,1985,1985,10,0.0
clique,2014,2014,2014,18,0.0
dynamite,2007,2007,2007,17,0.0
selfishly,1995,1995,1995,18,0.0
drock,1993,1994,1993,11,0.5222329678670935
behalf,2011,2011,2011,21,0.0
heros,1985,1985,1985,10,0.0
losing,1984,1999,1994,32,5.958187643906492
mike,1989,1989,1989,11,0.0
same,1985,2014,2000,230,9.260716471484125
shoebox,2002,2003,2002,17,0.9074852129730301
taste,1989,1989,1989,11,0.0
close,1984,2011,1998,134,7.964473354898962
who,1983,2014,1999,169,10.997848095054481
pause,2011,2011,2011,21,0.0
facts,1983,1983,1983,15,0.0
quitsang,1991,1992,1991,18,0.816496580927726
opinion,1986,1986,1986,9,0.0
10s,2000,2000,2000,29,0.0
think,1986,2014,2000,191,9.878582258328114
get,1983,2014,2000,517,9.368761625247792
backseat,2014,2014,2014,18,0.0
sting,2012,2012,2012,14,0.0
portrait,1996,1996,1996,20,0.0
near,1986,2006,1999,27,9.433981132056603
flies,1980,1981,1980,21,0.7559289460184544
salt,2011,2011,2011,21,0.0
pound,2000,2000,2000,29,0.0
thing,1984,2014,2002,226,9.689653271968686
neck,1993,1994,1993,11,0.5222329678670935
today,1985,2012,2001,58,8.34493445357618
fittest,1991,1992,1991,18,0.816496580927726
beastie,1987,1987,1987,11,0.0
throw,1989,2014,2003,83,8.732297065961097
style,1983,2003,1995,35,9.680613912055666
wit,1995,2007,2001,36,5.351531452667441
contemplating,2009,2009,2009,1,0.0
wraps,1994,1994,1994,4,0.0
bagle,1993,1994,1993,11,0.5222329678670935
still,1980,2014,1997,246,10.775423708493369
win,1994,2000,1996,73,2.869298993191328
buddha,2011,2011,2011,21,0.0
goats,2014,2014,2014,10,0.0
stand,1987,2011,2000,104,9.26843277765158
mission,1991,1992,1991,18,0.816496580927726
off,1980,2014,2001,248,9.889918294453587
billis,2014,2014,2014,10,0.0
stomach,1993,1994,1993,11,0.5222329678670935
why,1980,2014,1997,196,9.49462791180747
bands,1982,2003,1997,8,9.12414379544733
mignon,2004,2005,2004,38,0.8885233166386386
french,1989,1990,1989,16,0.3535533905932738
rims,2000,2000,2000,29,0.0
break,1984,2009,1998,90,7.1297498787358125
says,1987,1991,1988,17,1.9553847221876073
only,1982,2014,1999,291,8.98624378255941
nickels,1995,1995,1995,11,0.0
ring,2014,2014,2014,18,0.0
heart,1982,2012,1998,288,7.815360587401654
loving,1989,2012,1997,25,10.936178491593852
beenie,2000,2000,2000,29,0.0
third,2000,2000,2000,29,0.0
guaranteed,1999,2000,1999,8,0.6123724356957945
prime,1985,1985,1985,10,0.0
gas,2002,2003,2002,22,0.7687061147858074
raptopayyourbill,2014,2014,2014,10,0.0
sitting,1986,2009,1991,4,9.987492177719089
swimmers,2011,2011,2011,21,0.0
hiphop,2013,2014,2013,23,0.6915640748081247
gay,1994,1994,1994,3,0.0
poster,1998,1998,1998,5,0.0
gal,2006,2006,2006,18,0.0
different,1985,1985,1985,10,0.0
indiana,2000,2000,2000,29,0.0
creation,1998,1999,1998,20,0.9486832980505138
moment,2003,2004,2003,28,0.823754471047914
riot,2010,2010,2010,9,0.0
closer,1997,1998,1997,29,0.5570860145311556
dawning,2002,2003,2002,17,0.9074852129730301
walks,2009,2009,2009,16,0.0
heard,1989,2012,2005,97,7.4481022283615115
flips,1982,1982,1982,2,0.0
unheeded,1983,1983,1983,15,0.0
dollar,1983,2000,1994,42,7.893638185876258
closed,1997,2012,2004,59,5.964584745515875
quicker,2000,2014,2003,39,6.141494013507521
clock,2011,2012,2011,16,0.5590169943749475
carrie,2002,2003,2002,22,0.7687061147858074
betta,1999,2000,1999,8,0.6123724356957945
flight,2013,2014,2013,22,0.674199862463242
walls,1996,1996,1996,20,0.0
ripe,2011,2011,2011,21,0.0
standing,1999,2014,2009,34,6.082762530298219
podd,1995,1995,1995,11,0.0
save,1990,2009,1997,64,6.7638746292343415
count,1995,2003,2000,33,3.7859388972001824
remains,1988,1988,1988,12,0.0
extratallems,1993,1994,1993,11,0.5222329678670935
ingles,2006,2006,2006,18,0.0
outta,1998,2008,2001,85,3.4196663063899706
official,2003,2003,2003,6,0.0
gunna,2011,2011,2011,21,0.0
champion,2014,2014,2014,1,0.0
outro,1993,1994,1993,11,0.5222329678670935
swany,1993,1994,1993,11,0.5222329678670935
heavy,1985,1995,1990,48,3.705289012569285
dusk,2006,2006,2006,18,0.0
likes,1987,2012,2006,25,6.838128398911503
issues,2003,2003,2003,6,0.0
wan,2011,2011,2011,21,0.0
stick,1999,2000,1999,8,0.6123724356957945
way,1982,2014,1998,453,9.639644044613021
armstrong,2002,2003,2002,17,0.9074852129730301
from,1984,2014,2000,366,8.559339640531109
believe,1982,2010,1999,208,6.6542352042775095
war,1985,1985,1985,10,0.0
crashin,2014,2014,2014,1,0.0
was,1982,2014,1999,273,8.913709242184897
risk,1984,1984,1984,6,0.0
duty,1985,1985,1985,10,0.0
rise,1998,2009,1999,6,4.183300132670378
able,1996,1996,1996,9,0.0
reefer,1995,1995,1995,11,0.0
arms,1989,2009,1996,47,9.033036293564367
between,1985,2010,1999,86,8.738447523231978
audience,2009,2009,2009,1,0.0
important,2014,2014,2014,1,0.0
stabbing,1996,1996,1996,9,0.0
incarcerated,1985,1985,1985,10,0.0
ambition,1998,2014,2000,6,6.0
hermes,2002,2003,2002,22,0.7687061147858074
chokin,1995,1995,1995,11,0.0
rita,1995,1995,1995,11,0.0
themselves,2014,2014,2014,1,0.0
quickie,1999,1999,1999,6,0.0
fantasies,1983,1983,1983,15,0.0
found,1987,2014,2000,73,9.962945045146176
haffi,2006,2006,2006,18,0.0
handle,2008,2008,2008,16,0.0
wood,2000,2000,2000,29,0.0
arrow,2006,2006,2006,18,0.0
slipped,1984,1984,1984,6,0.0
rage,1985,1985,1985,10,0.0
pride,1984,2012,2003,75,10.713853959554735
danger,1997,1998,1997,24,0.408248290463863
forward,2014,2014,2014,10,0.0
scrollin,2014,2014,2014,10,0.0
juice,1999,1999,1999,6,0.0
resistance,1987,1987,1987,14,0.0
wooh,1983,1983,1983,13,0.0
fallin,1980,1984,1981,26,1.4411533842457842
dying,1989,2012,2002,71,8.346374771778818
ends,1989,2010,1998,61,6.505987154341685
hitboy,2014,2014,2014,10,0.0
scorin,2013,2014,2013,22,0.674199862463242
swagger,2011,2011,2011,21,0.0
graveyard,1995,1995,1995,11,0.0
theres,1983,2010,1995,238,8.310922245541018
listend,1993,1994,1993,11,0.5222329678670935
price,1984,2000,1997,35,6.035608621222174
wont,1982,2013,1995,143,8.910981674630152
london,2010,2010,2010,9,0.0
coming,1985,2014,1995,71,9.700442853256535
warmth,1997,1999,1998,40,0.8944271909999159
own,1990,2012,2001,139,8.713670727882528
complain,1985,1985,1985,10,0.0
stayer,1999,2000,1999,8,0.6123724356957945
face,1984,1999,1990,46,4.099310652547201
imma,1995,2012,2006,56,6.897204402613321
wheel,2002,2003,2002,22,0.7687061147858074
breakfast,2012,2013,2012,16,0.9682458365518543
pounds,1996,1996,1996,9,0.0
next,1993,2014,2002,76,6.6500890377893676
bucket,2009,2009,2009,1,0.0
bells,2005,2005,2005,14,0.0
oooohhhh,1993,1994,1993,11,0.5222329678670935
happy,2002,2013,2006,44,4.968079929089122
motor,1989,1989,1989,14,0.0
dippin,1997,1998,1997,20,0.5477225575051661
fur,1999,2000,1999,8,0.6123724356957945
luxuries,1986,1986,1986,9,0.0
ruins,2009,2009,2009,16,0.0
caught,1984,2012,2001,115,9.771297808866805
hair,1987,2014,1997,44,7.54983443527075
drowned,2012,2012,2012,14,0.0
boomin,1993,1994,1993,11,0.5222329678670935
wasnt,1982,2014,2000,115,10.41988066359103
fade,1996,2000,1996,28,1.8224786888818678
news,2012,2013,2012,16,0.9682458365518543
familiar,1983,1996,1990,35,6.447590912226719
fact,1991,2012,1998,22,10.121983276737097
dreams,1991,2011,2002,61,7.734317819377966
dreamt,2014,2014,2014,1,0.0
surrender,1984,1989,1987,17,2.400980191995124
seventysomething,2002,2003,2002,17,0.9074852129730301
served,1985,1985,1985,10,0.0
alley,1995,1995,1995,11,0.0
ghana,2011,2011,2011,21,0.0
wopdoo,1982,1982,1982,14,0.0
takes,1987,2003,1996,51,6.712586947623976
goodies,2004,2005,2004,38,0.8885233166386386
faced,1987,1987,1987,14,0.0
woke,2011,2014,2011,17,0.9074852129730301
duke,2002,2003,2002,17,0.9074852129730301
taken,2003,2009,2007,22,2.696799449852968
lugga,1995,1995,1995,11,0.0
fun,1986,2013,2002,96,9.39691882125909
angel,1990,1999,1994,57,3.6706517419289884
vicious,2014,2014,2014,1,0.0
foreign,1985,2011,2002,31,12.16950180547866
killing,1998,1999,1998,32,0.9013878188659973
mutha,1999,2000,1999,8,0.6123724356957945
smelling,2011,2011,2011,1,0.0
tube,2009,2009,2009,1,0.0
yoit,1991,1992,1991,18,0.816496580927726
well,1980,2014,1995,260,11.290056891592027
owe,1987,2010,1988,17,5.401524839175998
dumb,2014,2014,2014,18,0.0
gotta,1983,2014,1999,214,10.491874915968854
ovo,2014,2014,2014,10,0.0
sticking,1993,1994,1993,11,0.5222329678670935
stagnant,2014,2014,2014,10,0.0
similes,2010,2010,2010,9,0.0
tuck,2011,2011,2011,21,0.0
squad,2014,2014,2014,10,0.0
wolf,2013,2014,2013,22,0.674199862463242
drops,2002,2003,2002,22,0.7687061147858074
our,1980,2014,1999,310,9.938682978888034
out,1983,2014,2001,456,9.090673840656311
skills,1993,1994,1993,11,0.5222329678670935
flash,2011,2011,2011,21,0.0
waste,1990,2008,1998,39,8.213497334359978
for,1983,2014,1999,684,9.08536513570714
takin,1991,1992,1991,18,0.816496580927726
sober,2000,2000,2000,29,0.0
hundred,1985,1985,1985,10,0.0
ashley,2014,2014,2014,1,0.0
falling,1980,1981,1980,21,0.7559289460184544
went,1983,2012,1999,82,11.333632229439736
vip,2012,2012,2012,8,0.0
watching,1987,2012,1997,25,12.319090875547595
lonliness,1998,1999,1998,32,0.9013878188659973
sayin,2003,2011,2004,7,2.8030595529069404
raptorspaymybills,2014,2014,2014,10,0.0
vic,2009,2009,2009,1,0.0
glad,2009,2009,2009,13,0.0
ooh,1989,2012,2003,78,6.905961749988751
airplane,2012,2012,2012,14,0.0
compare,1992,1998,1995,41,2.2577778844717558
provin,2014,2014,2014,10,0.0
atmosphere,1987,1987,1987,1,0.0
table,1987,1987,1987,14,0.0
clown,2000,2000,2000,29,0.0
locked,2003,2011,2003,23,1.6681153124565982
cube,2002,2003,2002,17,0.9074852129730301
cried,2002,2014,2003,18,2.6246692913372702
evil,1992,2009,1996,57,4.571076114232322
cuba,1993,2011,2004,32,8.472381601415272
position,1991,1991,1991,18,0.0
ground,1999,2014,2000,14,3.863750953228149
suicidal,1985,1985,1985,10,0.0
trying,1985,2003,1997,72,5.581467349880117
wanted,1984,2014,1994,48,10.778064142816495
minds,2010,2010,2010,9,0.0
dates,2002,2003,2002,22,0.7687061147858074
nineohs,1993,1994,1993,11,0.5222329678670935
montana,2009,2009,2009,1,0.0
pockets,1996,2011,2006,30,6.892024376045111
fake,1993,1994,1993,11,0.5222329678670935
giving,1986,1989,1988,28,0.9063269671749657
102,2014,2014,2014,1,0.0
tryna,2000,2014,2006,60,6.0676739090582865
100,1994,2014,1999,75,7.027564774989034
covered,1991,1991,1991,6,0.0
slangin,1995,2000,1996,19,2.3395906074624073
demeaning,1998,1998,1998,5,0.0
miracle,1998,1999,1998,20,0.9486832980505138
desert,2012,2012,2012,14,0.0
diamonds,2011,2011,2011,21,0.0
saint,1995,1995,1995,11,0.0
fall,1992,2013,2004,60,8.994442728707543
foe,1995,1995,1995,11,0.0
fascination,1983,1983,1983,15,0.0
jazze,2004,2005,2004,38,0.8885233166386386
dubs,1995,2000,1998,40,2.318404623873926
old,1983,2007,1993,77,7.970725659089487
answers,2003,2003,2003,22,0.0
fried,2012,2012,2012,14,0.0
fortune,1989,1990,1989,16,0.3535533905932738
basketballems,1993,1994,1993,11,0.5222329678670935
inconvinience,1991,1991,1991,18,0.0
fame,1989,2000,1996,45,5.211099265563414
silly,1997,2000,1998,53,1.6018856812672546
were,1982,2014,1996,237,10.221801801419872
please,1987,1998,1993,42,4.290077144383526
three,1993,2014,2007,69,7.158657472710522
cards,1984,2003,1994,31,8.802492315687752
tuna,2011,2011,2011,21,0.0
work,1991,2014,2003,196,6.326168521567008
crosslegged,1986,1986,1986,3,0.0
earths,2002,2003,2002,22,0.7687061147858074
worm,2007,2007,2007,17,0.0
celebrated,1995,1995,1995,11,0.0
curiosity,1984,1984,1984,6,0.0
letter,2003,2003,2003,22,0.0
discover,1986,1986,1986,9,0.0
flu,2013,2014,2013,22,0.674199862463242
bidders,1986,1986,1986,9,0.0
tune,2011,2011,2011,21,0.0
flo,2011,2011,2011,21,0.0
flang,2000,2000,2000,29,0.0
1234,1988,2007,1991,17,7.251774630676111
righteous,2000,2000,2000,29,0.0
threw,1987,1987,1987,11,0.0
fly,1980,2014,1994,100,11.18883371938291
company,2009,2010,2009,17,0.6416889479197478
fighting,1985,2009,1999,33,10.427237061047032
even,1984,2014,2004,118,8.30254198362348
word,1991,2011,2003,55,8.591750800516843
wore,2014,2014,2014,10,0.0
passing,2014,2014,2014,18,0.0
west,1985,2012,1997,18,13.416407864998739
ever,1987,2012,2001,261,7.21641381521947
ride,1994,2003,1998,105,4.232527107330291
dancing,2012,2013,2012,24,0.7905694150420949
letlet,2014,2014,2014,18,0.0
fans,2000,2000,2000,29,0.0
one,1982,2014,1999,560,9.237056581277084
monaco,1989,1990,1989,16,0.3535533905932738
fin,1995,1995,1995,11,0.0
llama,2011,2011,2011,21,0.0
minute,1997,1999,1997,13,1.3587324409735149
fit,1991,2014,1998,34,10.26129220162153
grape,2013,2014,2013,22,0.674199862463242
astray,1999,2000,1999,8,0.6123724356957945
york,2000,2012,2003,68,4.4556639433950345
tryin,1995,2012,2003,36,6.3595946761129705
dues,1999,2000,1999,8,0.6123724356957945
perfect,2002,2014,2007,39,5.181327421245819
passion,1983,2010,1992,64,9.399966755260362
fine,1984,2014,1999,19,12.622035868816258
find,1987,2014,2000,256,8.149722004461257
decade,2002,2003,2002,17,0.9074852129730301
fill,1997,1997,1997,7,0.0
wishing,1996,1996,1996,20,0.0
weve,1997,1997,1997,7,0.0
bionic,2000,2000,2000,29,0.0
tunechi,2011,2011,2011,21,0.0
continue,1993,1994,1993,11,0.5222329678670935
confuse,1991,1992,1991,18,0.816496580927726
clap,2014,2014,2014,18,0.0
channel,2009,2009,2009,1,0.0
thats,1982,2014,2003,286,9.255691879477848
pants,2002,2006,2004,41,1.592666118762391
dramamine,2011,2011,2011,21,0.0
mcdonalds,2009,2009,2009,1,0.0
hose,2009,2009,2009,1,0.0
time,1980,2014,1997,550,8.946914145518148
745,1999,2003,2002,28,1.647508942095828
married,1989,2011,2002,35,10.779610382569492
kenwood,2000,2000,2000,29,0.0
bare,1997,1998,1997,20,0.5477225575051661
contagious,2004,2005,2004,38,0.8885233166386386
trancentral,1991,1991,1991,14,0.0
poetic,1995,1995,1995,11,0.0
daisies,1996,1996,1996,9,0.0
wide,1999,2000,1999,8,0.6123724356957945
clumpedup,1993,1994,1993,11,0.5222329678670935
pocket,1995,1996,1995,20,0.6708203932499369
handcuff,2012,2012,2012,8,0.0
bite,2007,2007,2007,17,0.0
lines,2007,2007,2007,3,0.0
underground,1996,1996,1996,9,0.0
smooth,1993,1994,1993,11,0.5222329678670935
queen,1983,2011,1999,43,12.231298016269193
hots,1997,1998,1997,20,0.5477225575051661
vet,1985,2014,1999,20,14.508618128546908
bath,2009,2009,2009,1,0.0
lived,1989,1989,1989,14,0.0
member,2009,2009,2009,1,0.0
impaired,2004,2005,2004,38,0.8885233166386386
bitches,2011,2014,2012,80,1.5370426148939398
meaning,1983,1998,1986,20,6.5383484153110105
hour,1991,1996,1993,38,2.3841582427170787
till,1985,2014,2001,123,10.092257355843904
breated,1993,1994,1993,11,0.5222329678670935
veterans,1985,1985,1985,10,0.0
bass,1991,1991,1991,14,0.0
comfort,1997,1998,1997,20,0.5477225575051661
zulu,1991,1991,1991,14,0.0
ditch,2012,2013,2012,16,0.9682458365518543
microwave,2002,2003,2002,17,0.9074852129730301
fate,1984,1986,1985,15,1.0
kiss,1982,2012,2002,60,10.08381541547312
band,1983,1983,1983,13,0.0
weddings,2003,2003,2003,6,0.0
hood,1993,2000,1995,39,2.258885588639695
bang,1989,2014,2002,40,11.197097838279346
dad,1985,2014,2001,37,10.791638404777073
vital,1993,1994,1993,11,0.5222329678670935
fulfill,2006,2006,2006,18,0.0
convicted,1985,1985,1985,10,0.0
cream,1993,2000,1998,40,3.0166206257996713
names,2014,2014,2014,10,0.0
day,1980,2014,1998,274,9.565563234854496
fast,2014,2014,2014,18,0.0
large,1993,1994,1993,11,0.5222329678670935
hope,1999,2003,2002,30,1.622754859285078
named,2011,2011,2011,21,0.0
bill,2000,2000,2000,29,0.0
blaze,1995,1995,1995,11,0.0
drinks,2009,2012,2011,9,1.1547005383792515
flock,1996,1996,1996,9,0.0
lights,1986,2014,2004,57,11.751819567960306
released,2013,2014,2013,22,0.674199862463242
switchblade,1989,1989,1989,14,0.0
sentenced,2003,2003,2003,22,0.0
talk,1982,2011,1998,128,8.978707451521071
law,1996,2000,1998,49,2.0
stackin,2011,2011,2011,21,0.0
april,1984,1985,1984,8,0.3535533905932738
jennings,2000,2000,2000,29,0.0
lay,1987,2014,1997,106,8.487504689192024
thousand,1985,2012,1996,41,11.668176441218852
planned,1998,1999,1998,32,0.9013878188659973
folks,2000,2000,2000,29,0.0
great,1989,2005,2000,69,5.6913359018622405
source,2014,2014,2014,1,0.0
take,1980,2012,1996,335,8.611516066014385
cup,2013,2014,2013,22,0.674199862463242
gentlemen,2004,2005,2004,38,0.8885233166386386
reason,1993,2007,1999,68,3.5355339059327378
otherwise,2014,2014,2014,1,0.0
shuttle,2002,2003,2002,17,0.9074852129730301
mannequin,2009,2009,2009,1,0.0
hatred,1998,1998,1998,5,0.0
sippin,1995,2014,1999,44,3.7598355863473123
wild,1983,2000,1993,67,6.6792170423267025
jordan,2013,2014,2013,32,0.7905694150420949
hold,1983,2012,1993,85,8.454027929649518
thuggin,1995,2003,2000,33,3.7859388972001824
oohee,1982,1982,1982,14,0.0
shoot,1989,1989,1989,14,0.0
elvis,2002,2003,2002,17,0.9074852129730301
tangled,2014,2014,2014,1,0.0
creep,1995,2012,2004,27,8.050764858994132
jesus,2009,2009,2009,1,0.0
sequins,2011,2011,2011,21,0.0
will,1988,2014,1998,300,6.695271963607354
ought,1986,2006,2003,21,7.0
holds,1992,1994,1993,25,0.5291502622129182
heading,1996,2004,2001,27,3.7859388972001824
survivors,2010,2010,2010,9,0.0
harmonica,2011,2011,2011,1,0.0
sturkenrogers,1998,1999,1998,20,0.9486832980505138
pardon,1982,1982,1982,10,0.0
getting,1986,2014,2006,103,7.683673272039638
home,1982,2014,1993,178,9.142443309253897
concludes,1985,1985,1985,10,0.0
bigger,2014,2014,2014,10,0.0
jehovah,2000,2000,2000,29,0.0
tape,1993,1994,1993,11,0.5222329678670935
quit,1991,2000,1997,55,3.870635371850232
clear,1982,2006,1995,50,9.533100230250387
short,1991,2000,1994,26,3.5895146447138764
trailin,2012,2012,2012,8,0.0
accomplishments,2014,2014,2014,1,0.0
clean,1989,1994,1990,18,2.0816659994661326
melody,2007,2007,2007,3,0.0
paramedic,2013,2014,2013,22,0.674199862463242
thang,1999,2000,1999,8,0.6123724356957945
peaceful,1998,1999,1998,20,0.9486832980505138
green,1984,1995,1991,16,5.129571132170798
dowopdiddy,1982,1982,1982,14,0.0
cuz,1995,1995,1995,11,0.0
stroll,2008,2008,2008,16,0.0
aloe,2009,2009,2009,1,0.0
okay,1982,2014,2004,41,12.943592444366194
wishin,2011,2011,2011,21,0.0
cut,1983,2011,1997,92,9.462167230378682
settle,2003,2003,2003,6,0.0
wannabe,2013,2014,2013,22,0.674199862463242
fired,1989,1989,1989,14,0.0
snap,1999,1999,1999,6,0.0
yacht,1989,1990,1989,16,0.3535533905932738
twitter,2014,2014,2014,10,0.0
unto,1992,1993,1992,21,0.9258200997725514
uzi,1993,1994,1993,11,0.5222329678670935
patricia,2011,2011,2011,21,0.0
family,1994,2011,2004,78,4.835764198615911
givin,1999,2000,1999,37,0.9299811099505543
asking,2003,2003,2003,22,0.0
flexin,1993,1994,1993,11,0.5222329678670935
charred,1993,1994,1993,11,0.5222329678670935
paved,2008,2008,2008,16,0.0
clubs,2000,2000,2000,29,0.0
arrive,1999,1999,1999,6,0.0
winter,1997,1998,1997,20,0.5477225575051661
strong,1982,2014,1999,109,10.851795606714507
lives,2010,2014,2012,41,1.6230053424013782
guggenheim,1989,1989,1989,11,0.0
streets,1989,1993,1991,35,1.9346465162548798
necklace,2002,2003,2002,22,0.7687061147858074
defeat,1991,2014,1999,28,10.727135152100423
ininin,1985,1985,1985,10,0.0
livin,2000,2010,2003,46,4.577829369813868
manslaughter,2009,2009,2009,1,0.0
writing,1987,2010,1988,17,5.401524839175998
wondering,1986,2012,2006,13,10.954451150103322
maserati,1989,1990,1989,16,0.3535533905932738
holdin,2014,2014,2014,10,0.0
shawty,2012,2012,2012,8,0.0
building,2010,2010,2010,9,0.0
gives,1985,1985,1985,8,0.0
transams,2002,2003,2002,17,0.9074852129730301
profits,1995,1995,1995,11,0.0
mentally,2003,2003,2003,22,0.0
wife,2003,2014,2004,7,3.8913824205360674
also,1998,1998,1998,5,0.0
shout,2011,2012,2011,29,0.5252257314388902
aspire,2014,2014,2014,1,0.0
satisfied,1995,2011,2002,47,7.494678963501869
fadin,1996,1996,1996,20,0.0
lungs,2009,2009,2009,1,0.0
checks,1995,1995,1995,11,0.0
yellow,2012,2012,2012,8,0.0
eyes,1984,2010,1995,165,6.246453539263845
cartwheels,2010,2010,2010,9,0.0
seat,1983,2012,1994,21,14.083086782851739
darlin,1980,1991,1982,27,4.447221354708778
lovely,1982,1982,1982,10,0.0
along,1991,1996,1994,33,1.8090680674665818
alone,1980,1990,1986,63,4.09025167076046
hearty,1987,1987,1987,1,0.0
cool,2011,2014,2012,32,0.7905694150420949
waiting,1986,2012,2001,63,10.064868965942244
pudding,1993,1994,1993,11,0.5222329678670935
wasting,1996,2004,1999,19,3.6273812505500582
always,1984,2014,1998,164,8.721294376969286
callin,1996,1996,1996,9,0.0
drivein,1982,1982,1982,14,0.0
swear,1987,2014,2003,68,11.278558522831771
lot,1985,2014,2003,115,7.321202087089251
lou,2000,2000,2000,29,0.0
hunny,2000,2000,2000,29,0.0
low,1995,1997,1995,18,1.247219128924647
sweat,1991,1992,1991,18,0.816496580927726
ugly,1986,1998,1990,14,5.756983337031396
pompoms,1982,1982,1982,14,0.0
acts,1983,1983,1983,13,0.0
metaphors,2010,2010,2010,9,0.0
