Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
nigga,1995,2014,2004,128,6.820809152879151
exbitch,1999,2000,1999,8,0.6123724356957945
tv,2014,2014,2014,10,0.0
stripped,1987,1987,1987,14,0.0
hmm,2000,2000,2000,29,0.0
slice,2009,2009,2009,1,0.0
part,1985,2014,1994,15,10.112698288126007
bittersweet,2007,2007,2007,3,0.0
brokers,2000,2000,2000,29,0.0
keep,1983,2014,2001,280,9.789754119194502
afford,1986,1986,1986,9,0.0
to,1980,2014,1997,988,9.707879015508851
hug,2003,2003,2003,22,0.0
arsenal,1993,1994,1993,11,0.5222329678670935
huh,1995,1995,1995,11,0.0
pull,1999,2014,2009,26,6.773818375526124
half,1985,2012,2000,101,8.862536570048416
round,1983,2014,1986,15,9.763879010584539
hustler,1996,2000,1999,38,1.7013926184468013
chugga,1995,1995,1995,11,0.0
st,2000,2000,2000,29,0.0
welcome,1985,2014,1987,11,8.361165642964556
slippin,2005,2005,2005,14,0.0
verse,1993,1994,1993,11,0.5222329678670935
so,1980,2014,1997,709,9.55246813083881
mysteries,2007,2007,2007,3,0.0
pump,2014,2014,2014,18,0.0
intended,2014,2014,2014,10,0.0
nation,1996,1996,1996,9,0.0
finish,2011,2012,2011,16,0.5590169943749475
counting,1984,2004,1994,38,8.741913556629289
rushin,1995,1995,1995,11,0.0
scuba,2011,2011,2011,21,0.0
militia,2011,2011,2011,21,0.0
killer,2011,2011,2011,21,0.0
birthday,2012,2012,2012,8,0.0
trade,2002,2003,2002,17,0.9074852129730301
unconditional,2014,2014,2014,10,0.0
repeat,1999,2000,1999,8,0.6123724356957945
hang,2000,2014,2005,51,6.719885619941611
phones,2014,2014,2014,10,0.0
melee,1995,1995,1995,11,0.0
liberty,1993,1994,1993,11,0.5222329678670935
hand,1987,2010,1993,77,6.439528901055764
reach,2009,2009,2009,1,0.0
wastin,1988,2000,1995,33,5.368256869616228
shut,1993,1994,1993,11,0.5222329678670935
deny,1995,2005,1999,32,4.9749371855331
bunch,2011,2011,2011,21,0.0
four,2009,2010,2009,18,0.6236095644623235
plain,1983,1983,1983,15,0.0
foul,2000,2000,2000,29,0.0
track,1983,2003,1996,69,7.788880963698615
forty,1995,1995,1995,11,0.0
school,1983,1996,1988,47,4.438707881757311
sweetest,2011,2011,2011,21,0.0
shell,1988,2012,2004,44,11.015484968484552
wrapped,2009,2009,2009,1,0.0
marching,1992,1993,1992,21,0.9258200997725514
screams,2009,2009,2009,1,0.0
relax,1994,1994,1994,8,0.0
excuse,2011,2011,2011,22,0.0
drama,2011,2011,2011,21,0.0
hustlas,1995,1995,1995,11,0.0
whether,1995,1995,1995,11,0.0
city,1991,2012,1999,87,6.507290341317721
enticing,2006,2006,2006,18,0.0
dealer,1987,1987,1987,14,0.0
course,1996,1998,1996,14,1.1952286093343936
open,1987,2011,2001,60,9.53589709116732
are,1980,2014,1997,442,10.187162536397778
rhymin,1993,1994,1993,11,0.5222329678670935
midnight,1994,2013,2001,67,8.920042835048747
page,1994,1994,1994,3,0.0
youyouyouooohyeah,1998,1999,1998,20,0.9486832980505138
arm,2002,2003,2002,17,0.9074852129730301
brothers,1993,1996,1994,20,1.4832396974191326
ancients,1991,1991,1991,14,0.0
plus,2000,2000,2000,29,0.0
problems,2014,2014,2014,10,0.0
form,2007,2007,2007,17,0.0
killin,1998,2007,1999,35,2.3784749015162756
bowbow,2014,2014,2014,1,0.0
ash,1998,1998,1998,5,0.0
wapshpshpsh,1993,1994,1993,11,0.5222329678670935
ask,1987,2014,2003,118,7.888524168646632
shit,1999,2014,2006,78,6.121630417981714
harder,1991,1992,1991,18,0.816496580927726
shoutout,1993,2014,2003,21,10.35788174704241
drake,2014,2014,2014,10,0.0
tomorrow,1982,2012,2001,95,9.81513332080941
pair,2013,2014,2013,22,0.674199862463242
bloodcurdling,2009,2009,2009,1,0.0
pain,1997,2009,2002,36,5.84522597225006
