@relation allSongsAllFieldsRankClass

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
240,106,10,3,11-20
353,120,8,3,21-30
209,95,11,3,1-10
255,114,14,3,31-40
335,105,11,4,21-30
304,109,11,3,21-30
136,67,13,3,31-40
468,115,11,3,21-30
597,198,16,4,21-30
217,102,11,4,21-30
218,73,9,3,1-10
227,70,10,3,31-40
221,67,10,3,41-50
225,78,8,4,1-10
254,90,10,3,11-20
257,90,10,4,31-40
413,98,14,3,1-10
1031,315,13,4,41-50
189,99,13,3,1-10
300,138,13,3,11-20
537,154,11,3,21-30
734,299,14,4,1-10
359,146,12,4,31-40
394,108,13,4,21-30
166,93,10,3,11-20
812,332,13,4,11-20
500,244,10,4,31-40
163,73,13,3,21-30
236,65,10,3,31-40
200,101,10,3,1-10
209,91,10,3,41-50
514,154,10,3,1-10
365,71,8,3,1-10
191,80,10,3,41-50
120,34,9,4,11-20
233,79,10,4,41-50
639,257,11,4,41-50
266,90,10,3,21-30
314,88,10,3,21-30
575,173,11,4,1-10
629,205,9,3,31-40
370,86,13,4,1-10
308,85,9,3,11-20
416,100,9,4,21-30
340,92,10,4,31-40
361,95,10,4,1-10
254,85,8,4,31-40
655,231,11,3,11-20
319,145,12,4,21-30
164,74,10,4,11-20
314,121,14,3,11-20
320,125,10,3,1-10
208,84,10,3,1-10
459,114,9,3,11-20
205,98,10,3,31-40
182,83,10,3,41-50
737,214,19,3,11-20
344,64,9,3,11-20
140,39,8,3,31-40
192,76,10,3,11-20
652,126,10,3,11-20
163,52,11,4,31-40
230,71,9,4,21-30
292,83,9,3,31-40
218,79,10,3,1-10
232,67,9,4,31-40
318,145,12,4,1-10
285,120,12,3,21-30
343,104,11,3,1-10
226,40,7,3,11-20
231,85,9,3,21-30
351,107,10,3,31-40
269,136,12,3,41-50
315,131,18,4,1-10
440,103,10,3,1-10
179,43,10,3,21-30
412,93,9,3,31-40
260,89,11,4,21-30
470,119,11,3,31-40
804,226,12,3,1-10
216,83,9,3,21-30
256,85,9,3,31-40
267,98,10,3,1-10
18,18,14,5,1-10
306,94,11,3,41-50
231,89,9,3,31-40
339,80,8,3,21-30
303,96,10,3,1-10
203,102,12,3,11-20
289,67,11,4,11-20
148,80,9,4,41-50
264,76,9,3,11-20
495,221,12,3,11-20
286,97,9,3,1-10
197,69,13,3,1-10
223,71,13,5,31-40
259,85,10,4,41-50
226,71,11,4,31-40
485,112,12,4,1-10
236,107,9,4,41-50
599,153,13,3,1-10
327,87,11,4,31-40
599,171,12,3,41-50
324,80,9,4,1-10
373,74,12,3,11-20
373,74,12,3,21-30
343,116,11,3,41-50
188,113,12,3,31-40
108,42,10,5,31-40
295,87,12,4,11-20
616,226,13,3,11-20
403,131,18,3,1-10
549,204,10,3,1-10
192,99,11,4,11-20
190,85,12,3,1-10
347,82,13,3,11-20
578,136,11,3,1-10
307,78,11,3,11-20
211,79,10,3,11-20
264,73,10,3,11-20
298,84,9,3,41-50
580,133,12,3,1-10
489,148,11,3,41-50
580,136,11,3,21-30
389,66,10,4,21-30
167,59,9,3,31-40
554,184,14,3,21-30
220,49,12,3,41-50
239,106,10,3,11-20
145,88,10,4,1-10
282,86,9,3,41-50
296,88,10,3,1-10
218,73,9,3,11-20
514,97,11,4,1-10
360,115,18,3,41-50
306,138,11,3,21-30
308,121,11,4,41-50
263,124,13,3,11-20
212,125,11,3,21-30
289,78,12,3,1-10
159,76,9,3,1-10
250,107,9,3,31-40
416,195,10,4,1-10
340,123,12,4,11-20
247,77,9,3,21-30
152,64,10,4,31-40
210,84,8,4,31-40
235,117,9,4,41-50
869,322,14,4,1-10
367,98,10,3,1-10
239,93,14,3,1-10
498,103,10,3,41-50
499,93,9,3,21-30
163,92,9,3,31-40
232,123,10,3,11-20
213,95,11,3,41-50
214,92,10,3,11-20
18,18,14,5,11-20
200,101,11,3,1-10
297,80,10,3,11-20
356,97,11,4,11-20
353,121,11,4,1-10
412,134,11,3,21-30
242,96,9,3,41-50
325,168,12,3,11-20
279,78,10,3,11-20
250,95,9,3,1-10
224,72,9,4,21-30
535,207,11,3,1-10
335,100,11,3,11-20
303,148,12,3,31-40
18,18,14,5,1-10
234,88,10,3,41-50
232,79,10,4,1-10
165,63,9,3,31-40
423,120,10,3,1-10
326,122,11,3,21-30
82,36,10,4,1-10
757,237,12,3,21-30
450,106,10,3,1-10
497,267,12,4,41-50
309,75,10,4,1-10
199,67,10,3,1-10
346,135,8,3,41-50
308,138,8,3,11-20
308,138,8,3,1-10
263,86,9,4,1-10
295,78,10,3,21-30
370,130,11,4,1-10
352,107,11,4,1-10
312,96,11,3,1-10
306,94,12,3,1-10
247,104,10,3,31-40
172,42,8,3,11-20
177,80,12,4,1-10
321,111,10,3,31-40
286,88,9,3,1-10
341,107,10,3,11-20
124,54,9,3,41-50
507,109,9,3,1-10
406,135,12,4,41-50
123,58,9,3,41-50
526,186,11,3,21-30
18,18,14,5,11-20
226,80,12,4,21-30
142,75,10,3,1-10
493,114,11,3,31-40
291,96,9,3,21-30
460,170,13,4,31-40
264,98,11,3,11-20
321,71,16,3,1-10
230,99,11,4,31-40
352,95,13,3,11-20
673,205,10,3,1-10
381,112,9,3,1-10
141,57,11,3,1-10
455,191,12,3,41-50
255,101,9,3,41-50
18,18,14,5,11-20
214,86,12,4,41-50
537,146,11,4,1-10
449,199,17,4,21-30
418,134,9,4,1-10
676,166,10,3,41-50
214,109,10,3,41-50
214,109,10,3,41-50
856,235,13,3,11-20
292,124,9,4,31-40
180,68,9,3,21-30
537,114,14,4,1-10
504,173,12,3,1-10
887,281,13,3,1-10
210,84,10,3,21-30
322,158,12,3,1-10
443,175,12,3,11-20
259,64,9,3,11-20
315,91,9,3,41-50
173,92,12,3,21-30
188,40,7,3,41-50
522,120,10,4,31-40
674,74,11,3,31-40
334,89,11,3,1-10
258,119,9,3,31-40
310,113,13,4,1-10
565,105,18,3,11-20
155,92,9,3,41-50
310,129,9,4,1-10
261,94,9,3,11-20
238,101,13,4,1-10
200,80,24,5,31-40
355,125,12,4,1-10
386,215,12,4,41-50
468,177,18,4,11-20
181,68,9,4,1-10
609,225,12,4,1-10
572,194,11,4,1-10
302,82,9,4,1-10
290,140,12,4,1-10
315,100,10,3,11-20
282,104,10,3,31-40
217,61,11,4,11-20
442,173,10,3,41-50
442,173,10,3,1-10
190,76,11,3,41-50
238,104,11,4,11-20
442,133,10,4,1-10
97,52,12,3,11-20
247,83,11,3,31-40
236,126,19,4,21-30
143,71,10,4,11-20
599,191,12,3,1-10
207,99,10,3,1-10
201,37,10,3,11-20
296,105,11,3,31-40
784,195,10,3,11-20
18,18,14,5,1-10
878,272,10,3,1-10
371,143,11,4,21-30
174,83,14,4,21-30
332,135,12,3,11-20
701,273,13,3,1-10
245,64,10,4,11-20
236,80,12,3,11-20
233,97,10,3,31-40
315,70,10,4,31-40
242,77,9,3,21-30
506,114,11,4,1-10
187,125,11,4,21-30
189,87,16,4,31-40
362,188,11,3,1-10
199,77,11,3,11-20
660,333,18,4,1-10
756,329,18,4,1-10
200,87,13,4,1-10
249,108,10,3,1-10
386,145,13,4,1-10
243,117,10,4,1-10
18,18,14,5,11-20
293,81,12,3,1-10
128,68,10,4,1-10
236,92,12,3,41-50
293,105,11,4,41-50
181,77,11,4,41-50
208,77,13,4,41-50
534,222,19,4,11-20
264,66,10,4,1-10
344,120,9,3,31-40
504,104,9,3,11-20
184,69,9,3,1-10
360,70,9,4,1-10
318,90,10,3,1-10
682,301,13,4,41-50
179,91,9,3,11-20
167,73,10,3,1-10
488,106,9,3,1-10
318,169,11,3,41-50
222,70,9,3,31-40
594,128,10,3,21-30
313,89,10,3,1-10
292,90,8,3,1-10
303,121,11,3,21-30
277,65,8,3,1-10
308,115,13,3,11-20
219,105,9,3,1-10
669,130,11,3,1-10
290,91,12,3,31-40
231,50,10,3,41-50
459,117,13,3,1-10
205,78,9,3,11-20
422,138,12,3,21-30
721,178,10,3,1-10
258,60,10,3,41-50
480,110,10,3,1-10
480,110,10,3,1-10
139,85,13,4,41-50
359,177,10,4,11-20
664,214,11,4,1-10
473,177,11,4,1-10
209,99,8,3,21-30
347,80,9,4,11-20
157,83,8,3,31-40
18,18,14,5,1-10
361,126,11,4,1-10
227,83,8,3,1-10
281,91,12,4,1-10
564,194,11,3,1-10
340,99,11,4,1-10
360,113,10,3,21-30
369,126,13,4,1-10
740,313,15,3,1-10
580,147,11,3,11-20
106,61,10,4,31-40
384,167,11,3,1-10
665,232,14,3,21-30
356,114,10,3,31-40
18,18,14,5,11-20
18,18,14,5,11-20
298,76,9,3,1-10
268,93,11,3,41-50
340,84,10,3,21-30
507,138,13,4,41-50
746,152,10,3,11-20
414,134,11,3,21-30
584,124,10,3,31-40
319,117,8,3,41-50
402,102,11,3,1-10
311,78,9,3,21-30
188,42,20,3,1-10
626,195,8,3,31-40
218,101,13,4,11-20
520,136,12,3,11-20
135,37,9,3,11-20
217,108,15,3,21-30
244,89,10,3,1-10
287,76,9,3,11-20
285,91,11,3,31-40
313,88,10,3,1-10
597,112,9,3,21-30
237,68,7,3,31-40
329,63,13,3,11-20
200,59,9,3,21-30
303,69,8,3,41-50
259,99,11,3,1-10
518,144,12,4,1-10
282,120,9,3,1-10
712,256,13,3,41-50
281,83,10,3,11-20
387,93,10,3,41-50
701,180,12,3,31-40
195,91,11,3,11-20
184,46,9,3,31-40
356,150,13,3,21-30
410,116,10,3,41-50
204,112,11,3,41-50
196,82,9,4,11-20
266,107,11,4,31-40
254,92,11,3,31-40
337,137,10,3,31-40
647,108,17,4,1-10
193,100,10,3,21-30
303,104,12,4,21-30
750,241,12,3,1-10
220,118,10,3,31-40
154,72,12,3,1-10
645,173,11,3,41-50
199,98,9,3,1-10
316,94,9,3,11-20
196,103,10,4,11-20
602,220,11,3,1-10
175,75,9,3,11-20
193,103,10,4,11-20
271,80,15,3,31-40
352,130,18,3,41-50
781,188,10,3,1-10
143,76,38,4,1-10
315,87,12,4,31-40
387,126,11,4,21-30
330,122,9,3,41-50
594,218,17,3,1-10
142,79,10,4,11-20
198,48,8,4,11-20
250,71,11,3,1-10
221,77,9,4,1-10
284,120,10,4,31-40
247,124,10,3,1-10
233,111,10,4,1-10
332,95,9,3,1-10
230,94,11,3,1-10
391,182,12,3,31-40
214,94,8,4,1-10
236,112,9,4,11-20
205,76,10,3,41-50
536,140,12,3,1-10
191,63,10,3,1-10
258,118,9,3,21-30
258,144,12,3,41-50
170,100,12,4,1-10
302,96,8,3,21-30
302,96,8,3,41-50
304,123,9,4,11-20
268,76,13,3,41-50
216,76,10,3,21-30
280,111,9,3,41-50
394,111,10,3,41-50
184,66,11,3,1-10
310,97,10,3,11-20
151,67,9,3,21-30
203,66,10,3,31-40
352,104,10,3,11-20
273,77,18,3,31-40
357,102,14,4,1-10
239,86,9,3,21-30
198,84,9,3,31-40
257,107,10,3,1-10
259,94,10,4,1-10
154,97,10,3,1-10
257,107,10,3,1-10
418,173,10,3,11-20
262,73,8,3,11-20
184,91,12,4,31-40
325,98,10,4,1-10
231,63,8,3,11-20
149,76,9,3,11-20
149,76,9,3,11-20
586,126,10,4,1-10
354,138,10,4,1-10
301,146,15,4,1-10
255,108,10,3,31-40
225,107,9,4,31-40
442,124,12,3,1-10
461,69,12,3,41-50
277,88,11,4,1-10
483,125,8,4,41-50
271,54,10,4,31-40
380,99,10,3,21-30
189,67,7,3,1-10
399,95,11,3,11-20
18,18,14,5,1-10
18,18,14,5,41-50
397,96,12,3,41-50
258,76,12,4,41-50
207,99,11,4,1-10
188,89,11,4,1-10
18,18,14,5,1-10
326,81,10,4,11-20
263,129,10,3,11-20
418,94,10,3,1-10
275,140,8,4,11-20
456,144,11,3,31-40
320,119,13,4,1-10
712,176,10,3,1-10
341,112,9,3,21-30
241,70,10,3,1-10
153,79,10,3,1-10
255,48,7,3,31-40
281,86,10,3,31-40
479,102,10,4,21-30
214,94,11,3,11-20
442,122,11,3,1-10
442,122,11,3,41-50
341,100,8,3,1-10
170,69,8,3,1-10
306,92,14,3,1-10
311,100,10,3,21-30
398,108,10,3,21-30
262,82,9,3,1-10
238,131,11,3,11-20
227,91,9,3,1-10
355,121,10,3,31-40
437,180,12,4,11-20
300,122,9,3,1-10
253,81,9,3,31-40
418,72,9,3,41-50
272,88,20,5,1-10
177,99,10,3,21-30
248,96,10,3,1-10
375,105,14,4,21-30
291,104,12,3,21-30
360,91,9,3,1-10
290,90,12,4,31-40
127,64,8,4,31-40
351,114,8,3,41-50
342,96,10,3,1-10
299,111,8,3,1-10
171,86,10,3,1-10
272,88,20,5,31-40
567,225,18,4,1-10
241,101,13,3,1-10
494,218,17,4,21-30
199,81,10,3,41-50
388,114,13,3,1-10
545,231,12,3,1-10
588,220,12,3,21-30
283,90,10,3,21-30
203,93,10,3,1-10
484,192,11,3,1-10
213,91,9,3,41-50
301,83,10,4,1-10
687,287,12,3,21-30
225,93,11,3,41-50
223,124,12,3,21-30
711,294,14,4,11-20
255,91,12,3,31-40
338,129,10,4,31-40
18,18,14,5,1-10
197,67,12,4,41-50
343,147,12,4,1-10
308,137,12,4,21-30
346,77,8,3,1-10
455,178,10,3,21-30
134,58,13,4,21-30
700,301,15,4,1-10
257,76,12,3,21-30
323,143,10,4,11-20
197,89,11,3,41-50
281,88,11,4,21-30
356,93,10,3,11-20
277,63,10,3,11-20
90,29,17,5,41-50
357,85,9,3,1-10
310,92,9,3,41-50
136,76,9,3,21-30
222,102,14,4,1-10
195,94,10,3,11-20
313,105,11,4,21-30
396,89,12,3,1-10
276,105,10,3,11-20
329,102,9,3,21-30
157,79,13,3,41-50
565,316,11,4,31-40
220,90,8,4,21-30
352,121,10,4,1-10
365,68,9,3,1-10
265,74,9,4,11-20
341,92,10,3,1-10
127,89,10,3,31-40
335,138,10,3,31-40
254,112,9,3,31-40
280,117,9,3,31-40
192,82,11,4,1-10
219,50,12,4,21-30
163,45,9,4,1-10
444,194,11,3,21-30
405,126,11,3,1-10
151,79,9,3,41-50
208,81,10,4,1-10
785,258,13,3,1-10
745,81,11,3,31-40
609,244,13,4,11-20
403,153,14,4,1-10
399,94,10,3,21-30
588,221,12,4,1-10
588,221,12,4,1-10
193,95,9,3,41-50
258,147,10,3,21-30
175,117,10,3,11-20
877,157,12,3,21-30
197,103,8,3,11-20
663,222,10,3,11-20
709,204,27,4,21-30
373,82,9,4,11-20
393,86,9,3,1-10
463,175,15,4,41-50
727,290,10,4,11-20
261,95,17,4,41-50
261,95,17,4,1-10
403,136,11,3,31-40
384,184,13,4,21-30
177,68,7,3,11-20
461,88,10,3,21-30
325,82,14,4,1-10
153,41,9,3,21-30
440,163,12,3,41-50
220,95,12,3,41-50
246,74,10,4,41-50
182,80,9,3,1-10
18,18,14,5,11-20
141,45,9,4,1-10
289,85,7,3,41-50
320,102,8,3,21-30
481,143,10,4,11-20
386,112,10,4,11-20
460,141,9,3,31-40
305,100,10,3,11-20
261,140,11,4,1-10
327,80,14,3,1-10
267,76,9,3,1-10
332,105,13,4,11-20
459,213,12,4,31-40
550,178,18,4,11-20
763,299,13,4,11-20
118,74,8,3,1-10
247,87,12,4,11-20
330,96,10,3,1-10
165,60,10,4,11-20
18,18,14,5,41-50
265,96,9,3,1-10
261,108,13,4,31-40
240,74,12,4,1-10
688,300,13,4,21-30
672,302,11,4,1-10
1,1,0,0,11-20
265,114,12,4,11-20
908,350,14,4,21-30
499,136,10,3,1-10
207,82,7,3,1-10
186,87,7,3,41-50
229,89,9,3,1-10
248,86,11,4,21-30
300,123,10,4,1-10
511,175,10,3,21-30
147,56,11,4,1-10
629,187,12,3,31-40
291,112,12,3,41-50
235,95,11,4,11-20
195,88,10,3,1-10
415,171,10,3,21-30
421,118,12,3,1-10
744,211,15,3,21-30
357,103,9,3,1-10
353,74,9,3,11-20
324,139,12,4,1-10
196,59,11,4,1-10
480,127,13,4,21-30
206,88,9,4,31-40
149,89,11,3,21-30
246,91,9,3,31-40
254,98,12,4,11-20
282,85,10,3,1-10
267,91,10,3,41-50
325,96,12,4,21-30
184,84,11,4,11-20
157,89,11,4,31-40
18,18,14,5,1-10
190,88,10,3,41-50
586,114,9,4,11-20
925,278,13,3,1-10
278,92,10,4,1-10
271,89,9,3,11-20
411,108,9,4,1-10
466,58,7,3,11-20
18,18,14,5,1-10
216,98,12,4,41-50
307,89,12,4,1-10
429,129,9,4,41-50
279,117,9,3,1-10
301,97,10,3,21-30
232,93,11,4,21-30
244,110,11,3,11-20
329,102,10,3,1-10
261,102,10,4,1-10
211,66,12,4,1-10
133,54,13,4,21-30
282,75,10,4,1-10
256,87,11,4,1-10
178,61,10,4,21-30
271,111,9,4,1-10
195,89,12,4,1-10
249,127,11,4,41-50
162,92,10,4,1-10
223,123,12,4,31-40
135,72,11,4,31-40
774,334,12,4,41-50
88,36,11,5,11-20
293,106,10,3,21-30
281,106,11,4,31-40
279,96,15,4,11-20
208,92,10,3,31-40
331,98,10,3,41-50
236,79,11,3,1-10
386,100,11,4,21-30
267,97,10,3,41-50
229,96,13,4,1-10
287,84,11,4,11-20
280,106,11,3,31-40
322,113,10,3,21-30
157,89,11,4,41-50
205,74,10,3,21-30
330,173,14,4,31-40
303,102,10,3,1-10
303,102,10,3,21-30
179,81,10,3,41-50
339,83,13,3,41-50
336,108,10,4,1-10
251,104,10,4,1-10
535,229,15,4,31-40
475,146,12,4,41-50
205,74,9,3,11-20
666,187,9,3,41-50
244,76,9,3,1-10
225,72,10,3,1-10
194,55,11,3,11-20
293,103,10,3,11-20
346,105,10,3,11-20
302,109,11,3,21-30
366,92,11,3,41-50
741,263,18,4,1-10
245,75,9,4,1-10
410,130,9,3,1-10
496,194,11,4,21-30
320,97,10,3,1-10
263,90,9,3,1-10
250,103,11,4,11-20
294,130,11,3,1-10
362,105,11,3,11-20
514,130,11,4,1-10
753,236,13,4,1-10
753,236,13,4,41-50
240,131,15,3,1-10
304,137,14,4,1-10
387,140,16,4,31-40
463,168,9,3,21-30
290,110,11,3,21-30
440,97,23,3,21-30
258,79,10,3,41-50
261,91,12,4,21-30
237,115,9,3,11-20
144,60,10,4,41-50
340,145,11,3,21-30
405,232,15,4,31-40
337,133,12,4,1-10
296,88,9,3,1-10
348,92,11,3,41-50
531,116,11,4,21-30
221,108,10,3,1-10
322,91,9,3,11-20
242,101,18,3,31-40
144,97,13,4,11-20
264,104,11,3,21-30
202,100,13,4,31-40
257,78,11,3,31-40
282,95,10,3,21-30
468,186,11,4,41-50
286,100,10,3,11-20
202,80,8,3,31-40
273,125,11,3,41-50
320,137,10,4,11-20
191,58,9,3,1-10
359,85,8,3,11-20
323,90,19,4,11-20
422,149,10,3,31-40
253,78,9,3,21-30
253,103,10,4,21-30
455,146,10,3,21-30
282,87,10,4,1-10
553,143,11,4,1-10
284,104,9,3,1-10
665,170,18,4,11-20
907,300,11,4,21-30
411,200,15,4,1-10
502,159,13,4,1-10
214,84,8,4,21-30
477,82,9,3,1-10
281,85,9,3,1-10
377,121,9,3,11-20
117,49,9,3,1-10
250,96,9,4,31-40
361,174,9,3,41-50
155,68,10,3,21-30
176,73,13,4,41-50
18,18,14,5,1-10
287,101,10,4,31-40
893,406,13,4,31-40
226,116,10,3,41-50
356,126,12,3,1-10
748,255,12,4,11-20
411,134,11,3,1-10
434,116,11,4,21-30
303,112,15,3,1-10
502,122,13,3,11-20
259,84,14,3,31-40
240,132,10,4,11-20
261,80,13,3,31-40
453,148,10,3,21-30
172,87,9,3,41-50
379,95,8,3,31-40
581,265,11,3,11-20
71,37,9,3,11-20
684,264,11,3,1-10
280,95,10,3,31-40
195,86,11,3,41-50
303,147,10,3,1-10
559,103,9,3,31-40
386,95,11,4,41-50
643,263,11,4,31-40
196,83,9,3,41-50
248,74,7,3,1-10
236,85,8,4,21-30
174,49,13,3,31-40
248,90,10,3,31-40
380,103,10,3,31-40
174,49,13,3,31-40
127,69,9,3,11-20
409,111,10,3,21-30
324,122,10,3,21-30
742,169,13,3,1-10
18,18,14,5,21-30
659,271,13,4,1-10
376,170,11,4,21-30
319,108,17,3,1-10
535,165,12,3,11-20
493,195,12,3,11-20
436,88,10,3,1-10
283,155,11,3,21-30
408,98,12,3,21-30
236,83,12,4,11-20
291,78,10,3,1-10
239,84,7,3,21-30
183,107,13,3,31-40
178,75,10,3,11-20
137,82,8,3,41-50
242,92,9,3,11-20
494,119,18,4,1-10
295,100,10,3,31-40
185,99,8,3,1-10
250,88,12,4,41-50
305,129,10,3,21-30
337,125,12,3,41-50
331,128,10,4,1-10
575,244,10,3,31-40
107,38,18,6,21-30
362,130,17,4,31-40
343,128,9,4,1-10
256,79,9,4,21-30
203,103,9,4,31-40
286,109,10,4,21-30
210,110,12,4,31-40
184,102,15,4,41-50
242,74,10,4,1-10
346,158,11,4,21-30
719,254,15,4,1-10
210,73,10,4,41-50
140,42,9,4,21-30
516,163,10,3,11-20
549,171,10,3,21-30
316,111,12,4,41-50
269,84,10,3,41-50
262,83,9,3,31-40
249,111,11,4,41-50
386,157,12,3,11-20
168,107,12,4,41-50
263,62,9,3,11-20
246,84,13,4,41-50
302,79,20,4,1-10
243,152,11,4,31-40
262,86,8,3,11-20
236,117,11,4,1-10
357,95,9,3,1-10
906,353,19,4,41-50
351,84,10,3,1-10
256,96,10,4,1-10
286,80,9,3,31-40
180,62,8,3,21-30
18,18,14,5,21-30
186,92,12,3,41-50
132,56,11,3,41-50
193,82,8,4,21-30
182,109,19,4,31-40
484,131,10,3,1-10
209,101,8,3,1-10
18,18,14,5,1-10
174,73,8,4,11-20
175,103,9,4,31-40
250,110,9,4,1-10
246,104,9,3,31-40
282,135,12,4,41-50
321,154,12,3,21-30
268,127,12,3,21-30
148,74,11,4,31-40
269,117,10,3,31-40
168,61,10,3,21-30
142,65,10,3,41-50
394,106,8,3,1-10
301,99,10,3,21-30
171,61,9,3,1-10
383,146,22,4,1-10
1067,389,12,4,1-10
160,85,8,3,31-40
251,92,10,3,1-10
415,122,11,4,31-40
212,84,12,3,11-20
1,1,12,12,11-20
377,123,10,3,11-20
154,35,11,4,21-30
450,112,11,4,21-30
335,105,8,3,21-30
170,87,10,4,11-20
421,130,10,4,1-10
363,97,10,3,41-50
266,90,13,3,21-30
481,134,10,3,11-20
143,84,9,3,41-50
889,334,11,4,21-30
18,18,14,5,1-10
291,118,11,4,1-10
261,106,11,3,21-30
366,81,11,3,11-20
288,113,15,3,1-10
600,105,10,3,1-10
421,82,10,3,1-10
285,103,11,3,41-50
544,221,12,4,41-50
495,173,10,3,41-50
188,58,10,3,31-40
203,82,10,3,41-50
143,49,8,3,1-10
177,80,9,4,1-10
379,111,11,3,1-10
598,106,13,3,41-50
522,186,11,3,1-10
202,106,15,4,41-50
327,97,10,3,1-10
270,68,10,4,11-20
236,96,10,3,11-20
621,206,14,4,1-10
428,153,13,3,1-10
403,125,11,3,31-40
108,87,15,5,1-10
621,211,11,3,41-50
285,115,12,4,1-10
791,254,12,3,21-30
491,121,11,4,31-40
242,95,9,4,11-20
277,102,12,4,41-50
310,69,8,3,11-20
647,235,11,4,11-20
647,235,11,4,1-10
200,80,10,3,1-10
240,95,10,4,31-40
231,82,11,4,1-10
350,110,10,3,11-20
224,83,10,3,1-10
458,143,10,3,1-10
233,72,8,3,1-10
465,277,14,4,21-30
460,134,13,3,11-20
450,138,10,3,31-40
353,114,9,3,41-50
411,189,24,3,1-10
479,226,13,3,1-10
598,137,9,3,31-40
193,26,10,4,1-10
292,35,9,3,1-10
387,155,10,4,31-40
733,362,18,4,41-50
397,134,14,3,1-10
192,110,11,4,1-10
404,136,12,4,31-40
404,171,13,3,11-20
176,78,9,3,41-50
255,78,8,3,11-20
168,82,14,4,41-50
220,82,19,6,1-10
220,82,19,6,1-10
358,135,11,3,21-30
526,149,10,3,1-10
580,204,15,3,1-10
706,221,12,3,31-40
871,278,13,3,31-40
18,18,14,5,1-10
655,316,13,4,31-40
363,196,14,3,21-30
363,196,14,3,21-30
839,257,12,4,31-40
135,65,10,3,31-40
226,89,9,3,11-20
523,253,13,4,31-40
465,97,11,3,1-10
257,131,12,4,31-40
233,74,9,4,31-40
164,83,23,5,1-10
716,298,11,4,31-40
141,52,9,4,31-40
325,140,11,3,11-20
714,286,12,3,31-40
473,160,11,3,11-20
354,96,7,3,41-50
823,213,11,3,11-20
767,293,11,3,41-50
708,126,11,3,1-10
132,68,10,4,21-30
488,233,18,3,31-40
802,58,8,3,1-10
256,122,9,4,41-50
428,125,12,3,11-20
231,92,11,3,1-10
179,61,13,3,1-10
337,100,10,4,1-10
681,215,19,4,1-10
278,106,10,3,11-20
444,131,10,3,11-20
365,84,11,3,1-10
328,138,10,3,41-50
802,250,18,3,11-20
493,205,14,3,1-10
439,62,10,3,1-10
397,162,11,3,41-50
257,128,9,3,41-50
507,268,12,4,11-20
353,91,11,3,21-30
346,112,11,3,31-40
240,93,10,3,11-20
294,84,12,3,1-10
290,142,10,3,31-40
474,111,11,4,1-10
314,137,11,4,31-40
437,113,10,3,11-20
484,141,13,4,21-30
331,75,9,3,31-40
254,99,11,4,1-10
265,109,11,4,41-50
596,213,12,3,41-50
637,193,14,3,1-10
229,85,8,3,41-50
243,82,8,3,1-10
293,124,20,3,1-10
274,89,11,4,41-50
274,89,11,4,21-30
365,84,11,3,11-20
490,113,8,4,21-30
195,87,8,3,21-30
538,187,9,3,21-30
729,240,12,3,1-10
314,87,11,3,31-40
690,197,10,3,31-40
227,96,11,4,31-40
277,82,9,3,31-40
478,190,10,3,31-40
679,201,10,3,1-10
568,207,13,3,41-50
774,339,24,4,41-50
774,339,24,4,21-30
774,339,24,4,11-20
512,251,13,4,11-20
425,260,13,4,11-20
425,260,13,4,41-50
425,260,13,4,21-30
425,260,13,4,21-30
425,260,13,4,21-30
215,115,9,3,21-30
310,98,9,3,31-40
226,79,15,4,1-10
732,244,11,4,21-30
142,56,18,3,31-40
325,104,11,4,1-10
286,83,12,4,41-50
240,74,13,4,11-20
530,135,9,3,11-20
823,222,11,3,1-10
198,83,12,3,31-40
573,203,13,3,1-10
563,134,11,3,21-30
828,243,12,3,31-40
153,87,78,4,11-20
196,81,11,3,11-20
207,118,9,3,1-10
279,112,12,4,31-40
232,87,12,3,11-20
232,87,12,3,11-20
591,146,14,3,1-10
645,184,10,4,21-30
655,181,9,3,11-20
244,66,8,3,21-30
356,122,11,3,1-10
362,107,11,3,11-20
432,168,12,3,21-30
279,116,11,3,1-10
510,102,11,3,1-10
393,170,12,4,21-30
703,179,10,4,31-40
599,134,10,4,1-10
1,1,0,0,41-50
339,100,13,3,11-20
184,85,13,4,41-50
379,139,11,3,31-40
314,123,11,3,31-40
324,74,9,4,1-10
264,126,10,4,31-40
239,87,11,3,1-10
239,87,11,3,11-20
212,93,10,4,31-40
813,300,13,4,11-20
223,121,12,4,11-20
704,205,12,3,41-50
194,58,10,3,31-40
321,82,10,3,41-50
481,150,11,3,21-30
443,171,14,3,21-30
127,100,11,4,41-50
3,2,12,3,11-20
278,114,12,4,31-40
481,179,14,3,1-10
415,84,11,3,31-40
424,111,12,3,1-10
271,35,9,3,11-20
823,270,14,3,31-40
455,95,8,3,21-30
535,145,9,3,21-30
485,181,13,3,11-20
299,91,8,3,41-50
405,146,10,3,1-10
221,123,12,4,31-40
389,155,10,4,1-10
389,155,10,4,1-10
337,91,11,3,1-10
18,18,14,5,1-10
815,255,12,3,21-30
179,84,12,3,41-50
274,97,10,3,1-10
205,90,9,4,41-50
352,87,11,3,21-30
388,115,9,3,21-30
435,124,18,3,11-20
180,108,13,3,21-30
452,122,8,3,31-40
