@relation allSongsAllFieldsRankClass

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
270,70,8,3,41-50
665,218,12,3,21-30
657,185,12,3,1-10
411,109,10,3,1-10
221,91,7,3,1-10
346,87,9,3,1-10
235,75,13,3,41-50
458,171,11,3,1-10
371,141,18,3,1-10
364,80,10,3,31-40
198,66,11,3,11-20
325,107,10,3,21-30
261,90,8,3,11-20
185,44,7,3,11-20
293,125,10,3,31-40
399,165,8,3,41-50
891,357,13,3,11-20
18,18,14,5,41-50
398,88,11,3,1-10
197,62,9,4,31-40
205,84,29,3,11-20
627,240,10,3,21-30
430,157,12,4,1-10
111,56,8,3,11-20
327,103,10,4,1-10
254,110,9,3,41-50
341,104,13,3,1-10
610,163,16,4,11-20
308,112,11,3,11-20
401,128,11,3,1-10
392,118,12,3,1-10
168,83,10,3,21-30
371,102,9,3,1-10
226,91,10,4,11-20
365,88,9,3,11-20
215,73,13,3,21-30
323,112,10,3,1-10
432,153,11,3,1-10
367,136,10,4,11-20
367,136,10,4,21-30
367,136,10,4,21-30
275,109,10,3,41-50
464,103,11,3,41-50
241,121,11,3,21-30
234,73,9,4,1-10
555,202,11,4,31-40
255,84,13,3,11-20
211,63,7,3,1-10
602,144,14,3,21-30
430,116,9,4,11-20
146,61,13,3,1-10
527,158,9,3,11-20
322,129,12,4,21-30
506,113,9,4,11-20
630,173,11,3,41-50
394,101,10,3,11-20
18,18,14,5,1-10
188,84,12,4,1-10
278,125,10,3,41-50
220,102,9,3,1-10
246,75,9,4,1-10
182,89,11,3,31-40
431,101,12,3,41-50
295,76,10,3,1-10
209,73,9,3,31-40
249,122,13,4,21-30
210,120,12,4,11-20
175,93,11,4,41-50
315,122,10,3,41-50
274,112,10,4,11-20
210,105,9,3,41-50
143,94,9,4,21-30
142,97,11,4,1-10
418,144,11,3,21-30
180,76,9,3,1-10
144,73,9,3,41-50
272,73,10,4,11-20
425,167,12,4,1-10
