Song,Year,Complex Narc
Addicted,2003,0.965517241
Addicted To Love,1986,0
Addictive,2002,8.647058824
Adia,1998,-11.01886792
Adore You,2014,3.71875
Adorn,2012,6.981818182
Adult Education,1984,0
Affair Of The Heart,1983,4.75
Afire Love,2014,8.275862069
Africa,1983,0.962962963
After All,1989,3.666666667
After I Cry Tonight,1983,4.941176471
After Party,2001,0
After The Fall,1983,1.545454545
After The Fire,1985,0.142857143
After The Glitter Fades,1982,0
After The Rain,1991,1.6
After The Summer's Gone,1991,-1.52
Again,2005,9.277108434
Again,2015,12.35294118
Again,1993,5.307692308
Again,2001,1.764705882
Again Tonight,1992,4
Against All Odds (Take A Look At Me Now),1984,8.53125
Against The Wind,1980,2.871794872
Ah! Leah!,1981,-18
Ai No Corrida,1981,18.9
Ain't 2 Proud 2 Beg,1992,1.469387755
Ain't Back Yet,2010,0.394736842
Ain't Even Done With The Night,1981,-1.821428571
Ain't I,2009,2.966292135
Ain't It Fun,2014,-1.657894737
Ain't It Funny,2002,4.033613445
Ain't No Nigga/Dead Presidents,1996,7.613636364
Ain't No Other Man,2006,5.958333333
Ain't No Sunshine,2009,0
Ain't Nobody,1997,3.347826087
Ain't Nobody,1983,4.583333333
Ain't Nothin' Goin' On But The Rent,1986,10.6779661
Ain't Nothing 'Bout You,2001,5.014285714
Ain't Nuthin' But A She Thing,1995,3.436363636
Ain't Worth The Whiskey,2015,1.555555556
Air Force Ones,2003,13.03184713
Airplanes,2010,-6.08
Alcohol,2005,1.184210526
Alejandro,2010,10.19607843
Alibis,1984,4
Alien,1981,-3.777777778
Alive,2013,4.285714286
Alive,2002,2.347826087
Alive And Kicking,1985,3.906976744
All 4 Love,1992,2.131147541
All About Soul,1993,3.473684211
All About That Bass,2014,1.636363636
All About Tonight,2010,0.52
All Around Me,2008,5.714285714
All Around The World,2012,-4.818181818
All Around The World,1990,3.724137931
All Bad,2013,1.342105263
All By Myself,1997,7.2
All Cried Out,1997,8.96
All Cried Out,1986,5.227272727
All Day,2015,6.975609756
All Eyes On You,2015,-1.419354839
All Falls Down,2004,-8.87254902
All Fired Up,1988,-10
All For Love,1994,-5.777777778
All For You,2001,4.05952381
All For You,1997,2.2
All Gold Everything,2013,10.29411765
All I Do,1998,19.04411765
All I Do Is Think Of You,1990,3.875
