prediction,actual,diff,predSCore,actScore
2014,2014,0,9.28771238,9.28771238
1999,1999,0,9.28771238,9.28771238
2012,2012,0,9.28771238,9.28771238
1990,1990,0,9.28771238,9.28771238
2004,2004,0,9.400879436,9.400879436
1982,1982,0,9.509775004,9.509775004
1986,1986,0,9.509775004,9.509775004
1997,1997,0,9.509775004,9.509775004
2008,2008,0,9.71596199,9.71596199
2003,2003,0,9.965784285,9.965784285
1983,1983,0,9.965784285,9.965784285
2000,2000,0,9.965784285,9.965784285
1982,1982,0,9.965784285,9.965784285
1990,1990,0,9.965784285,9.965784285
2005,2005,0,9.965784285,9.965784285
1982,1982,0,10.17492568,10.17492568
1989,1989,0,10.33985,10.33985
1984,1984,0,10.33985,10.33985
1988,1988,0,10.33985,10.33985
1983,1983,0,10.33985,10.33985
1986,1986,0,10.33985,10.33985
2009,2009,0,10.33985,10.33985
1983,1983,0,10.33985,10.33985
1994,1994,0,10.33985,10.33985
1998,1998,0,10.33985,10.33985
1989,1989,0,10.33985,10.33985
1993,1993,0,10.33985,10.33985
1982,1982,0,10.33985,10.33985
1982,1982,0,10.33985,10.33985
1987,1987,0,10.33985,10.33985
2001,2001,0,10.33985,10.33985
2002,2002,0,10.33985,10.33985
2009,2009,0,10.33985,10.33985
1980,1980,0,10.33985,10.33985
2006,2006,0,10.33985,10.33985
2007,2007,0,10.33985,10.33985
1980,1980,0,10.33985,10.33985
1983,1983,0,10.33985,10.33985
1991,1991,0,10.33985,10.33985
1991,1991,0,10.33985,10.33985
1991,1991,0,10.33985,10.33985
2010,2010,0,10.33985,10.33985
1984,1984,0,10.33985,10.33985
2000,2000,0,10.33985,10.33985
2003,2003,0,10.33985,10.33985
1999,1999,0,10.33985,10.33985
1980,1980,0,10.33985,10.33985
2013,2013,0,10.33985,10.33985
1992,1992,0,10.33985,10.33985
1987,1987,0,10.37829486,10.37829486
1992,1992,0,10.37829486,10.37829486
2011,2011,0,10.37829486,10.37829486
2002,2002,0,10.37829486,10.37829486
1981,1981,0,10.37829486,10.37829486
2007,2007,0,10.37829486,10.37829486
2010,2010,0,10.37829486,10.37829486
1983,1983,0,10.37829486,10.37829486
1987,1987,0,10.7548875,10.7548875
1983,1983,0,10.7548875,10.7548875
2014,2014,0,10.7548875,10.7548875
1980,1980,0,10.7548875,10.7548875
1998,1998,0,10.7548875,10.7548875
1998,1998,0,10.7548875,10.7548875
2012,2012,0,10.7548875,10.7548875
1997,1997,0,10.7548875,10.7548875
2001,2001,0,10.85252951,10.85252951
1984,1984,0,10.85252951,10.85252951
2003,2003,0,10.91886324,10.91886324
2007,2007,0,10.98370619,10.98370619
1986,1986,0,10.98370619,10.98370619
2013,2013,0,11.10131915,11.10131915
2010,2010,0,11.10131915,11.10131915
2012,2012,0,11.10131915,11.10131915
1990,1990,0,11.10131915,11.10131915
1981,1981,0,11.10131915,11.10131915
2000,2000,0,11.10131915,11.10131915
2006,2006,0,11.10131915,11.10131915
1981,1981,0,11.22941969,11.22941969
1981,1981,0,11.22941969,11.22941969
2008,2008,0,11.22941969,11.22941969
1989,1989,0,11.22941969,11.22941969
2000,2000,0,11.22941969,11.22941969
1997,1997,0,11.22941969,11.22941969
2008,2008,0,11.22941969,11.22941969
1998,1998,0,11.22941969,11.22941969
2003,2003,0,11.22941969,11.22941969
1993,1993,0,11.22941969,11.22941969
1981,1981,0,11.22941969,11.22941969
1987,1987,0,11.22941969,11.22941969
1990,1990,0,11.22941969,11.22941969
2006,2006,0,11.22941969,11.22941969
1988,1988,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
2004,2004,0,11.22941969,11.22941969
2006,2006,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
2001,2001,0,11.22941969,11.22941969
1996,1996,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
2005,2005,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
1990,1990,0,11.22941969,11.22941969
1999,1999,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
1985,1985,0,11.22941969,11.22941969
2000,2000,0,11.22941969,11.22941969
1990,1990,0,11.22941969,11.22941969
1985,1985,0,11.22941969,11.22941969
1986,1986,0,11.22941969,11.22941969
1989,1989,0,11.22941969,11.22941969
1989,1989,0,11.22941969,11.22941969
1992,1992,0,11.22941969,11.22941969
1984,1984,0,11.22941969,11.22941969
2013,2013,0,11.22941969,11.22941969
1989,1989,0,11.22941969,11.22941969
1992,1992,0,11.22941969,11.22941969
1999,1999,0,11.29404631,11.29404631
1984,1984,0,11.42206477,11.42206477
2008,2008,0,11.42206477,11.42206477
1984,1984,0,11.42206477,11.42206477
1985,1985,0,11.42206477,11.42206477
1985,1985,0,11.42206477,11.42206477
1984,1984,0,11.42206477,11.42206477
1998,1998,0,11.509775,11.509775
2007,2007,0,11.61470984,11.61470984
2004,2004,0,11.70043972,11.70043972
1985,1985,0,11.72067179,11.72067179
1981,1981,0,11.72067179,11.72067179
1996,1996,0,11.72067179,11.72067179
2002,2002,0,11.72067179,11.72067179
1984,1984,0,11.72067179,11.72067179
1986,1986,0,11.72067179,11.72067179
1999,1999,0,11.95455985,11.95455985
1996,1996,0,12,12
1994,1994,0,12,12
2013,2013,0,12,12
1993,1993,0,12,12
1995,1995,0,12,12
2000,2000,0,12,12
2005,2005,0,12,12
2004,2004,0,12,12
1985,1985,0,12,12
1988,1988,0,12,12
2015,2015,0,12,12
1985,1985,0,12,12
2010,2010,0,12,12
2003,2003,0,12,12
1994,1994,0,12,12
1998,1998,0,12,12
1980,1980,0,12,12
1982,1982,0,12,12
1999,1999,0,12,12
1985,1985,0,12,12
2003,2003,0,12,12
1991,1991,0,12,12
2002,2002,0,12,12
1990,1990,0,12,12
1986,1986,0,12,12
1982,1982,0,12,12
2006,2006,0,12,12
1981,1981,0,12,12
2000,2000,0,12,12
2010,2010,0,12,12
2011,2011,0,12,12
1981,1981,0,12,12
1985,1985,0,12,12
1980,1980,0,12,12
1983,1983,0,12,12
2010,2010,0,12,12
1984,1984,0,12,12
1980,1980,0,12,12
1983,1983,0,12,12
1984,1984,0,12,12
2002,2002,0,12,12
2014,2014,0,12,12
2009,2009,0,12,12
2014,2014,0,12,12
2003,2003,0,12,12
2015,2015,0,12,12
1981,1981,0,12,12
1996,1996,0,12,12
1993,1993,0,12,12
1998,1998,0,12,12
1980,1980,0,12,12
1988,1988,0,12,12
2001,2001,0,12,12
1982,1982,0,12,12
1995,1995,0,12.26238852,12.26238852
1984,1984,0,12.26238852,12.26238852
1986,1986,0,12.26238852,12.26238852
1984,1984,0,12.26238852,12.26238852
1992,1992,0,12.26238852,12.26238852
2010,2010,0,12.509775,12.509775
1990,1990,0,12.509775,12.509775
1988,1988,0,12.509775,12.509775
2002,2002,0,12.509775,12.509775
1981,1981,0,12.509775,12.509775
1980,1980,0,12.509775,12.509775
2013,2013,0,12.509775,12.509775
2013,2013,0,12.509775,12.509775
2008,2008,0,12.67970001,12.67970001
1986,1986,0,12.67970001,12.67970001
1982,1982,0,12.67970001,12.67970001
1987,1987,0,12.67970001,12.67970001
1998,1998,0,12.67970001,12.67970001
1990,1990,0,12.67970001,12.67970001
2014,2014,0,12.67970001,12.67970001
1980,1980,0,12.67970001,12.67970001
1984,1984,0,12.67970001,12.67970001
1983,1983,0,12.67970001,12.67970001
1995,1995,0,12.67970001,12.67970001
1981,1981,0,12.67970001,12.67970001
1996,1996,0,12.67970001,12.67970001
2012,2012,0,12.67970001,12.67970001
1992,1992,0,12.67970001,12.67970001
1981,1981,0,12.67970001,12.67970001
1999,1999,0,12.67970001,12.67970001
1988,1988,0,12.67970001,12.67970001
2013,2013,0,12.67970001,12.67970001
1997,1997,0,12.67970001,12.67970001
1986,1986,0,12.67970001,12.67970001
1990,1990,0,12.67970001,12.67970001
2004,2004,0,12.67970001,12.67970001
2006,2006,0,12.67970001,12.67970001
2006,2006,0,12.67970001,12.67970001
1980,1980,0,12.67970001,12.67970001
1983,1983,0,12.67970001,12.67970001
2005,2005,0,12.67970001,12.67970001
2011,2011,0,12.67970001,12.67970001
