stdDev,,stdDev
0,3.047597675,3.047597675
0,,4.25863828
0,,4.347820313
0,,4.740491164
0,,4.755869191
0,,4.828082072
0,,4.82957934
0,,4.969823554
0,,5.081400521
0,,5.109663271
0,,5.114492019
0,,5.192350788
0,,5.235123746
0,,5.26471431
0,,5.313664534
0,,5.403786615
0,,5.48048902
0,,5.640079629
0,,5.642578322
0,,5.6588728
0,,5.673668764
0,,5.692945602
0,,5.714384046
0,,5.728305342
0,,5.735051925
0,,5.805411967
0,,5.862727637
0,,5.865696267
0,,5.97911862
0,,5.979207801
0,,6.014396248
0,,6.082040119
0,,6.082954582
0,,6.119229758
0,,6.136969642
0,,6.205365808
0,,6.222643285
0,,6.244512743
0,,6.272642908
0,,6.299678596
0,,6.332983928
0,,6.334586342
0,,6.380862681
0,,6.396979624
0,,6.435755964
0,,6.555673443
0,,6.570320151
0,,6.574215277
0,,6.592872935
0,,6.615088699
0,,6.631178793
0,,6.646084046
0,,6.64874957
0,,6.667691084
0,,6.715647258
0,,6.747816356
0,,6.7606471
0,,6.774644137
0,,6.802816285
0,,6.810283408
0,,6.820914673
0,,6.835920162
0,,6.838727073
0,,6.849642427
0,,6.857409436
0,,6.87473661
0,,6.901744845
0,,6.951294878
0,,6.971066868
0,,6.988761361
0,,6.991108231
0,,7.003570518
0,,7.039719109
0,,7.068406909
0,,7.07012284
0,,7.070800722
0,,7.077072148
0,,7.116768452
0,,7.124961509
0,,7.136518161
0,,7.163044458
0,,7.249604053
0,,7.278763093
0,,7.310372781
0,,7.349095855
0,,7.361600532
0,,7.385592826
0,,7.390711389
0,,7.430433075
0,,7.438652756
0,,7.43947207
0,,7.461114496
0,,7.462407611
0,,7.466413527
0,,7.494702965
0,,7.505265374
0,,7.532660923
0,,7.533379767
0,,7.549592508
0,,7.578538828
0,,7.632895256
0,,7.637223327
0,,7.643486998
0,,7.650233253
0,,7.650742289
0,,7.655896657
0,,7.661419875
0,,7.674524958
0,,7.691018831
0,,7.707641788
0,,7.71384334
0,,7.716789757
0,,7.740602554
0,,7.751423409
0,,7.771719774
0,,7.798808101
0,,7.840014976
0,,7.842092275
0,,7.849768083
0,,7.850477692
0,,7.872565953
0,,7.888568197
0,,7.889502379
0,,7.927354926
0,,7.930478705
0,,7.94024886
0,,7.944745827
0,,7.954087702
0,,7.984481739
0,,8.001446628
0,,8.00468087
0,,8.077555638
0,,8.084156459
0,,8.088919161
0,,8.089945964
0,,8.09660632
0,,8.100671014
0,,8.101262372
0,,8.117063431
0,,8.124097812
0,,8.132825901
0,,8.134237558
0,,8.134818613
0,,8.145247709
0,,8.154496882
0,,8.161188112
0,,8.162545422
0,,8.177496866
0,,8.182533586
0,,8.184872806
0,,8.188102625
0,,8.189387554
0,,8.204503785
0,,8.219462871
0,,8.229090368
0,,8.230267302
0,,8.231883258
0,,8.246607542
0,,8.256139031
0,,8.274155409
0,,8.275004112
0,,8.286233488
0,,8.288852977
0,,8.292137093
0,,8.294327176
0,,8.30319547
0,,8.305812984
0,,8.310226421
0,,8.313910996
0,,8.319563184
0,,8.322263029
0,,8.322397196
0,,8.334413535
0,,8.339981826
0,,8.347684334
0,,8.352634163
0,,8.352941435
0,,8.362566549
0,,8.375052357
0,,8.383391791
0,,8.388443896
0,,8.420448525
0,,8.433257657
0,,8.448924407
0,,8.4510324
0,,8.453678129
0,,8.454108504
0,,8.461654136
0,,8.469830272
0,,8.473633087
0,,8.478859038
0,,8.480107647
0,,8.492660518
0,,8.493762417
0,,8.506835964
0,,8.513076046
0,,8.514025451
0,,8.519509747
0,,8.535518846
0,,8.53750331
0,,8.539557408
0,,8.548161366
0,,8.552882814
0,,8.55341993
0,,8.556435168
0,,8.556878407
0,,8.56343518
0,,8.565029944
0,,8.570464752
0,,8.570538399
0,,8.577299501
0,,8.586837898
0,,8.588306164
0,,8.590928392
0,,8.591130574
0,,8.600609967
0,,8.600637752
0,,8.604166617
0,,8.611146953
0,,8.614731964
0,,8.623090647
0,,8.631635097
0,,8.649138484
0,,8.652810461
0,,8.654598368
0,,8.657226333
0,,8.657439361
0,,8.664666152
0,,8.670966293
0,,8.671040236
0,,8.679233313
0,,8.679317226
0,,8.681734823
0,,8.685353651
0,,8.686380503
0,,8.701098256
0,,8.707114341
0,,8.717706849
0,,8.735473116
0,,8.737713837
