@relation allSongsAllFields

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK real

@data
630,173,11,3,46
394,101,10,3,17
18,18,14,5,5
188,84,12,4,6
278,125,10,3,41
220,102,9,3,2
246,75,9,4,5
182,89,11,3,36
431,101,12,3,43
295,76,10,3,6
209,73,9,3,37
249,122,13,4,27
210,120,12,4,17
175,93,11,4,44
315,122,10,3,46
274,112,10,4,16
210,105,9,3,50
143,94,9,4,25
142,97,11,4,7
418,144,11,3,28
180,76,9,3,1
144,73,9,3,41
272,73,10,4,14
425,167,12,4,8
324,98,9,4,13
304,125,12,3,41
309,102,12,3,30
285,81,18,4,4
503,231,12,3,33
503,231,12,3,19
242,84,8,3,1
286,133,10,3,4
250,48,8,3,20
187,75,9,3,35
510,98,14,3,1
579,112,9,3,20
238,61,10,3,4
162,64,9,3,5
289,22,7,3,1
305,116,11,3,33
222,70,9,3,8
288,98,10,3,30
231,92,9,3,31
235,122,11,3,39
342,84,10,3,45
381,97,11,3,4
268,102,10,3,1
250,87,9,3,1
18,18,14,5,24
18,18,14,5,8
187,94,11,4,46
212,82,9,4,16
393,147,10,3,9
175,102,11,4,48
221,74,12,5,17
215,93,10,4,25
188,140,10,4,23
420,103,11,3,37
185,87,9,4,16
385,165,9,3,29
260,134,10,4,35
286,135,14,4,28
291,125,10,4,13
270,80,9,4,49
326,158,9,3,16
239,101,10,4,13
384,176,12,3,10
627,181,30,3,2
289,87,9,3,22
331,105,10,4,21
187,92,9,3,37
177,87,11,4,19
296,99,9,3,21
18,18,14,5,3
379,109,9,3,20
177,66,7,3,18
262,77,11,3,5
227,107,11,4,4
440,120,13,4,1
178,79,10,3,29
277,87,10,4,32
227,106,9,3,5
202,112,10,3,40
219,106,11,4,14
340,112,9,3,1
214,82,9,3,4
248,87,20,3,38
201,96,10,3,4
327,127,10,3,38
289,87,10,3,19
312,87,11,3,13
277,106,10,4,43
307,103,21,4,3
8,4,7,5,21
290,94,23,4,10
642,130,11,3,49
52,30,8,3,1
303,82,11,3,1
350,109,10,4,27
157,93,10,4,13
338,118,10,3,22
430,68,10,3,3
18,18,14,5,1
18,18,14,5,11
287,109,8,3,7
174,73,11,4,44
324,123,9,3,32
508,173,14,4,27
178,75,9,3,14
340,112,10,3,44
375,135,13,4,31
246,93,18,4,2
217,45,10,3,23
142,56,8,3,42
282,125,11,4,37
491,107,10,3,15
364,115,10,3,28
180,40,11,3,18
138,70,11,3,49
237,108,10,4,49
281,122,9,3,48
322,83,10,4,47
256,103,9,3,1
303,105,10,3,29
306,103,11,4,26
334,161,10,3,48
198,71,11,3,12
184,88,9,3,32
103,57,10,4,15
179,109,11,3,46
194,72,10,3,2
208,90,17,4,4
348,121,12,4,48
543,187,11,3,48
143,56,10,3,15
271,77,7,3,29
319,125,11,3,32
254,86,10,3,16
453,83,12,3,13
267,81,9,4,41
584,156,19,4,21
493,265,16,4,24
506,111,11,3,3
665,225,12,3,9
449,79,11,2,28
230,87,9,3,1
359,172,11,3,28
